,calificaciones,fechas,reseñas,autor
284,5 de 5. Excelente,21 de sep de 2020,"Absolutely beautiful sane place to stay. During the covid times, beautiful view, staff are nice, clean premises and just wonderful.","KellieL, Clearwater Fl"
285,5 de 5. Excelente,21 de sep de 2020,Sin reseña,Cliente verificado
286,5 de 5. Excelente,17 de sep de 2020,Beautiful place and the staff were great! Great location,Cliente verificado
287,5 de 5. Excelente,14 de sep de 2020,Sin reseña,James
288,1 de 5. Terrible,12 de sep de 2020,"1- Room 320 smells like mildew 2- Most rooms face an interior wall except the suites that face the street and zocalo. 3- Military style for entry and exit from hotel. They constantly ask you for name and room number even if you show your key and are leaving the hotel. I went to check the Terrace restaurant and a rude host asked me; are you a guest, what is your room number? Even after I explained I just wanted to take a look. Staff was overall unfriendly.",Cliente verificado
289,5 de 5. Excelente,23 de ago de 2020,Sin reseña,MARIO
290,5 de 5. Excelente,9 de oct de 2020,Sin reseña,Cliente verificado
291,5 de 5. Excelente,5 de oct de 2020,"Amazing big rooms and friendly staff, close to everything.",Enrique
292,5 de 5. Excelente,28 de sep de 2020,"Staff was great due to covid there was not alot people, also the restaurant was awesome!",Cliente verificado
293,5 de 5. Excelente,26 de sep de 2020,Everyone was extremely nice. Beautiful building. Great location.,Michele
294,5 de 5. Excelente,21 de sep de 2020,"Absolutely beautiful sane place to stay. During the covid times, beautiful view, staff are nice, clean premises and just wonderful.","KellieL, Clearwater Fl"
295,5 de 5. Excelente,21 de sep de 2020,Sin reseña,Cliente verificado
296,5 de 5. Excelente,17 de sep de 2020,Beautiful place and the staff were great! Great location,Cliente verificado
297,5 de 5. Excelente,14 de sep de 2020,Sin reseña,James
298,1 de 5. Terrible,12 de sep de 2020,"1- Room 320 smells like mildew 2- Most rooms face an interior wall except the suites that face the street and zocalo. 3- Military style for entry and exit from hotel. They constantly ask you for name and room number even if you show your key and are leaving the hotel. I went to check the Terrace restaurant and a rude host asked me; are you a guest, what is your room number? Even after I explained I just wanted to take a look. Staff was overall unfriendly.",Cliente verificado
299,5 de 5. Excelente,23 de ago de 2020,Sin reseña,MARIO
300,5 de 5. Excelente,20 de mar de 2020,"Amazing hotel, excellent service! Great location, FANTASTIC! Thanks",Jose
301,5 de 5. Excelente,18 de mar de 2020,"Hotel overlooks Mexico’s Zocalo, close to shopping in centro. We attended wedding at nearby cathedral & it was a pleasant walk. We had breakfast at Spanish Casino in centro histórico a short walk away.",Mary
302,5 de 5. Excelente,18 de mar de 2020,"Very friendly and helpful staff! Rooms were clean, location was excellent.","AmandaA, Edmonton, Canada"
303,5 de 5. Excelente,17 de mar de 2020,"The property is beautiful, the view from the room was excellent. However we opened the windows to watch the activities on the Zocalo and in the evening there were mosquitos in the room.",Cliente verificado
304,5 de 5. Excelente,15 de mar de 2020,Absolutely fantastic in every way. For the price coming from the US you can stay at the fanciest hotel in Me,Cliente verificado
305,5 de 5. Excelente,14 de mar de 2020,Sin reseña,Arthur
306,5 de 5. Excelente,13 de mar de 2020,"Best hotel in CDMX excellent services, great restaurants, definitely we will come back. The best location in the city","JuanS, Texas"
307,5 de 5. Excelente,12 de mar de 2020,Sin reseña,Cliente verificado
308,5 de 5. Excelente,12 de mar de 2020,Staff was helpful and friendly. Lots of museums and excellent restaurants within walking distance. The ‘Terraza’ or terrace bar offers a beautiful view of the main square (‘Zócalo).,Cliente verificado
309,5 de 5. Excelente,11 de mar de 2020,"I loved everything about the hotel. However, the restaurant was only OK and I did not like the bar cocktails.",Cliente verificado
310,4 de 5. Bueno,9 de mar de 2020,The lobby was very art nouveauand the staff was very acomodating.,"Donna, Colorado"
311,5 de 5. Excelente,8 de mar de 2020,"This hotel is gorgeous--one of the most spectacular interiors we've seen anywhere in the world. It's like staying at a museum. The café, restaurant and bar are very suitable. The staff is pleasant, well informed and very helpful all speaking adequate English, if you are challenged with Spanish. The double room is very nice. The king bed had the best comfort of all the places we stayed during three weeks in Mexico. Warning: Talented street musicians perform all day and into the early night on the adjacent street (16 Sept.) which could interfere with an afternoon nap, but we found them delightful. If you want to visit the sites of the historic district the location is superb.","BillMauk, Boise, Idaho"
312,4 de 5. Bueno,8 de mar de 2020,great hotel in great location,jonathan
313,5 de 5. Excelente,7 de mar de 2020,"Very nice rooms, spacious and comfortable, Very attentive staff. Pleasantly surprised!!! Perfect Valentine's weekend! We had an excellent dinner at rooftop terrace restaurant, especially the salad bar. Breakfast was equally as good. An older classic style hotel. We will definitely stay there again. On par with Four Seasons & Hotel Zavala.",STEVEN
314,5 de 5. Excelente,7 de mar de 2020,This historic beautiful hotel was centrally located right on the zocalo.,Cliente verificado
315,5 de 5. Excelente,7 de mar de 2020,The location on Zodico was perfect and the staff were outstanding. Historic building was beautiful.,"Anna, USA"
316,5 de 5. Excelente,7 de mar de 2020,"Excellent service, room was very nice. Staff was very helpful","Ed, PA"
317,5 de 5. Excelente,6 de mar de 2020,Sin reseña,Cliente verificado
318,5 de 5. Excelente,3 de mar de 2020,Loved absolutely everything about this hotel except for the lack of an ice machine which is trivial,Kathleen
319,5 de 5. Excelente,3 de mar de 2020,Sin reseña,Cliente verificado
320,5 de 5. Excelente,2 de mar de 2020,"totally unique and gorgeous hotel. staff was wonderful. great location. a pool would have been nice, but you can't have everything.","David, Vancouver"
321,5 de 5. Excelente,1 de mar de 2020,"Was beautiful, the staff was so accommodating, friendly. The rooms were immaculate in cleanliness and decoration very comfortable beds.",Cliente verificado
322,5 de 5. Excelente,28 de feb de 2020,Sin reseña,Cliente verificado
323,5 de 5. Excelente,26 de feb de 2020,Awesome thank you! Great treat! Beautiful. Great location!,"KathleenL, Canada"
324,5 de 5. Excelente,25 de feb de 2020,"Great location, helpful staff. Master suite huge. Good breakfast. Good value","Gareth, Cardiff"
325,5 de 5. Excelente,23 de feb de 2020,"location, Restaurant food quality, Style of the Lobby. View from Bar & restaurant",Cliente verificado
326,5 de 5. Excelente,22 de feb de 2020,Sin reseña,Robin
327,5 de 5. Excelente,21 de feb de 2020,Sin reseña,Bethann
328,5 de 5. Excelente,20 de feb de 2020,"Our entire experience was beyond all our expectations, starting with the greeting of a glass of bubbly and an expresso during check-in.. A personalized goody tray was waiting for us in our room. We spent three exquisite hours on the terrace with a view of the church as our backdrop. it was difficult to leave the hotel to explore our surroundings. Only regret was not booking a longer stay.",Jill
329,5 de 5. Excelente,16 de feb de 2020,"I’m ecstatic . OMG what an amazing experience . This is the best that I have ever visited in my life . The staff amazing Cynthia at the Guest Services and Jose Luis , Manuel , Jorge and Salvador made my stay unforgettable . The room , fresh and clean , felt like royalty . My window mirrored el Zocalo , simply spectacular . Thank you !! Janet from Puerto Rico",Cliente verificado
330,5 de 5. Excelente,2 de mar de 2020,"totally unique and gorgeous hotel. staff was wonderful. great location. a pool would have been nice, but you can't have everything.","David, Vancouver"
331,5 de 5. Excelente,1 de mar de 2020,"Was beautiful, the staff was so accommodating, friendly. The rooms were immaculate in cleanliness and decoration very comfortable beds.",Cliente verificado
332,5 de 5. Excelente,28 de feb de 2020,Sin reseña,Cliente verificado
333,5 de 5. Excelente,26 de feb de 2020,Awesome thank you! Great treat! Beautiful. Great location!,"KathleenL, Canada"
334,5 de 5. Excelente,25 de feb de 2020,"Great location, helpful staff. Master suite huge. Good breakfast. Good value","Gareth, Cardiff"
335,5 de 5. Excelente,23 de feb de 2020,"location, Restaurant food quality, Style of the Lobby. View from Bar & restaurant",Cliente verificado
336,5 de 5. Excelente,22 de feb de 2020,Sin reseña,Robin
337,5 de 5. Excelente,21 de feb de 2020,Sin reseña,Bethann
338,5 de 5. Excelente,20 de feb de 2020,"Our entire experience was beyond all our expectations, starting with the greeting of a glass of bubbly and an expresso during check-in.. A personalized goody tray was waiting for us in our room. We spent three exquisite hours on the terrace with a view of the church as our backdrop. it was difficult to leave the hotel to explore our surroundings. Only regret was not booking a longer stay.",Jill
339,5 de 5. Excelente,16 de feb de 2020,"I’m ecstatic . OMG what an amazing experience . This is the best that I have ever visited in my life . The staff amazing Cynthia at the Guest Services and Jose Luis , Manuel , Jorge and Salvador made my stay unforgettable . The room , fresh and clean , felt like royalty . My window mirrored el Zocalo , simply spectacular . Thank you !! Janet from Puerto Rico",Cliente verificado
340,5 de 5. Excelente,8 de feb de 2020,Centrally located. Helpful sdtaff. Excellent breakfast. Recommend without reservation,Cliente verificado
341,5 de 5. Excelente,7 de feb de 2020,"The grandeur of the hotdl at such affordable rates, friendly restaurant staff, great night view from restaurant, comfortable place and right in yhr centre.","Femi, Vancouver"
342,5 de 5. Excelente,7 de feb de 2020,Sin reseña,Masao
343,5 de 5. Excelente,6 de feb de 2020,Great Historic Site Great Staff Overal experience was fantastic,"Neeto, San Diego"
344,5 de 5. Excelente,5 de feb de 2020,Absolutely breathtaking! The service was second to none! The views were second to none! The hospitality was second to none! I truly felt like i was a king! The bellhop gave me a tour of the facilities and wouldn't allow me to carry ANYTHING! I got the opportunity to ride the oldest elevator in the western hemisphere! And much more. I will certainly visit again.,"Bishop, Joliet, IL"
345,5 de 5. Excelente,3 de feb de 2020,Sin reseña,"Jean, Montreal, Qc"
346,4 de 5. Bueno,2 de feb de 2020,La localizacion del hotel esta perfecta y cerca de muy buenos restaurants. En Alguns detalles creo q al hotel le hace falta renovarse para ser considerado un 5 estrellas,"Ruben, Tijuana BC"
347,5 de 5. Excelente,1 de feb de 2020,"Loved staying this grand old lady. A wonderful architectural building of substance, updated with modern features such as heating etc done with integrity to its past.",Cliente verificado
348,5 de 5. Excelente,27 de ene de 2020,"Very good Hotel,. We wanted to stay there longer but they were booked up because of a wedding party arriving.",Alan
349,5 de 5. Excelente,27 de ene de 2020,Sin reseña,Edward
350,5 de 5. Excelente,27 de ene de 2020,"Bravo, Gran Hotel Cuidad de Mexico! We didn’t know what to expect booking this hotel… Sometimes the old grand dame hotels can go to seed, and you stay in a memory of a once great hotel. Not here. The minute you arrive the doorman greets you… leads you up the steps and to the desk and pours you a glass of champagne. From there it just got better. The Tiffany designed ceiling in the lobby is a marvel, set off by the ironwork fabricated in the Eiffel workshop in France. The friendly desk team of Celia, Javier, Jose Luis and Ramese was friendly and helpful. (What ever you need, they make it happen with a smile.) Our room was charming with floor to ceiling windows that opened onto the Zocalo. Service lovely, Setting in the middle of the action…. But above it all. We are giving it five stars.",william
351,5 de 5. Excelente,27 de ene de 2020,Sin reseña,Lindsey
352,4 de 5. Bueno,24 de ene de 2020,I like the historical back ground of the property and I also liked the front desk service.,Cliente verificado
353,5 de 5. Excelente,23 de ene de 2020,Everything was lovely!,John
354,5 de 5. Excelente,22 de ene de 2020,The public rooms of this grand historic hotel are beautiful with an amazing stained glass ceiling over the lobby. Our room looked right out to the zocolo and also had beautiful cathedral views. I would definitely recommend paying the extra price for a room with a view The room was quite large (especially for an older hotel) and comfortable. The bathroom was also large with nice amenities provided. The furnishings seemed rather dated in style but were in good condition. The on-site restaurant also had great views but the food was not the best.,Cliente verificado
355,5 de 5. Excelente,21 de ene de 2020,"Fantastiskt hotell i ett underbart område, får man chansen att bo där så ta den!",Anna-Karin
356,5 de 5. Excelente,18 de ene de 2020,"Beautiful early 20th century decor. Very central - right on the Zócalo. Room was clean, spacious, comfortable and quiet. Very good buffet restaurant was available.","Christine, Brampton Ontario Canada"
357,5 de 5. Excelente,18 de ene de 2020,A beautiful hotel in every way with wonderful people and great architecture,Cliente verificado
358,5 de 5. Excelente,16 de ene de 2020,"This is the best Hotel we have visited in Mexico City, since the first moment you arrive you feel welcome, we got Champagne and my kids water, when we arrive at our room there was a dish with fruits and cholate for our reception, finally, when we left the hotel my two little ones got a stuff Lion from the Hotel this was the best surprise they had since that moment they carried for the rest of our trip, I am very happy and definitely will be my hotel for the next trip to Mexico City. Thank you so much to the staff and restaurant personnel",Omar
359,5 de 5. Excelente,16 de ene de 2020,"Excellent service, nice people, nice view, close to everything.","Areli, california"
360,5 de 5. Excelente,13 de ene de 2020,"The hotel's location is great! We were steps away from the Zocalo and our room had a view facing it too. We stayed here during the Dios de Los Muertos so it was very crowded and noisy outside the hotel but we still managed to enjoy our stay. Our deluxe room was spacious, the bed was comfortable and the bathroom was huge! The hotel was clean and the staff was friendly and helpful. I can't wait to return to the Gran Hotel!",Antigone
361,5 de 5. Excelente,11 de ene de 2020,Sin reseña,Cliente verificado
362,5 de 5. Excelente,11 de ene de 2020,Sin reseña,Cliente verificado
363,5 de 5. Excelente,9 de ene de 2020,This is an amazing hotel. The architecture and history of this building is impressive. The accommodations are very comfortable. Loved the bed.,Ruben
364,5 de 5. Excelente,9 de ene de 2020,Sin reseña,Cliente verificado
365,4 de 5. Bueno,7 de ene de 2020,Heritage building with a lot of character and prime location on the Zocalo,"Eric, Vancouver BC"
366,5 de 5. Excelente,7 de ene de 2020,Sin reseña,Cliente verificado
367,5 de 5. Excelente,6 de ene de 2020,Sin reseña,Cliente verificado
368,5 de 5. Excelente,2 de ene de 2020,16世紀に建てられた歴史のある建築物をホテルに転用したものです。 入り口は観光名所としても有名で、天井のステンドグラスは美しいです。 部屋ももちろん快適で、ベッドが最高に快適です。 レストランもテラス席があり、ソカロが一望できるのでお勧めです。,Cliente verificado
369,5 de 5. Excelente,1 de ene de 2020,Sin reseña,Cliente verificado
370,5 de 5. Excelente,31 de dic de 2019,Sin reseña,Tabea
371,5 de 5. Excelente,31 de dic de 2019,The staff was extremely attentive throughout our entire stay.,Cliente verificado
372,5 de 5. Excelente,30 de dic de 2019,Sin reseña,Cliente verificado
373,5 de 5. Excelente,30 de dic de 2019,Sin reseña,Cliente verificado
374,5 de 5. Excelente,28 de dic de 2019,"The hotel is located in the heart of the city easy access to the main points of interest. The staff members of the hotel are very kind, friendly they always have a smile in their face.","Amparo, Boynton Beach Fl"
375,4 de 5. Bueno,28 de dic de 2019,立地はソカロ広場横でとても良いです。また、内装も007で使われただけありとても素敵でした。中でも、ティファニーの天井ステンドグラスは圧巻です。 お部屋の設備、アメニティも十分満足できます。不足のものがあれば、電話一本ですぐスタッフが部屋まで運んでくれます。ただ、週末はパーティが広場で行われているのか、夜はとてもうるさいです。深夜の３時ごろまで爆音が部屋まで響きます。防音がしっかりしている部屋か、静かな部屋に変更をお願いしましたが、そんな部屋はないので我慢してくれと言われました。その点を除けば、パーフェクトです。,"brea, 日本"
376,5 de 5. Excelente,26 de dic de 2019,"Dos comentarios, los cuartos que dan al Zócalo son muy ruidosos y la caja fuerte está a una altura muy arriba, es difícil de manejarla. Todo lo demás excelente.",Lorena
377,5 de 5. Excelente,23 de dic de 2019,Sin reseña,Alexander
378,5 de 5. Excelente,22 de dic de 2019,Amazing building from 1897. just love the stain glass roof and beautiful old metal work. Great rooftop bar and Restaursnt. Excellent location,Cliente verificado
379,5 de 5. Excelente,21 de dic de 2019,Sin reseña,Cliente verificado
380,5 de 5. Excelente,21 de dic de 2019,"The Gran Hotel was perfect! My husband & I celebrated our anniversary in Mexico City. Upon our arrival at the hotel we were offered champagne and discovered we had received a room upgrade. This hotel is one of the most memorable hotels I have had the pleasure of staying in. The Tiffany canopy and old world charm of the Gran was an experience in itself. The staff was extremely attentive and responsive to our needs. Our room partially overlooked the Zocalo, and while it was a bit noisy at night we figured that was part of the whole experience. The Terraza Restaurant on the roof of the hotel was a great place to relax after a long day of sightseeing. The food and drinks were excellent, as was the staff. Thanks again Gran Hotel for a wonderful experience!","Patty, Astoria, Oregon USA"
381,5 de 5. Excelente,21 de dic de 2019,Sin reseña,Cliente verificado
382,5 de 5. Excelente,20 de dic de 2019,"the historical beauty surrounding us and the excellent , kind and attentive staff","dan, Florida"
383,5 de 5. Excelente,16 de dic de 2019,Sin reseña,Cliente verificado
384,5 de 5. Excelente,16 de dic de 2019,Very convenient to everything around the major spots..,"Alex, Houston Texas"
385,4 de 5. Bueno,15 de dic de 2019,Sin reseña,Laura
386,5 de 5. Excelente,14 de dic de 2019,Amazing hotel and outstanding service... The interior lobby is unreal. I would stay here and again and would definitely recommend others as well.,Phillip
387,5 de 5. Excelente,14 de dic de 2019,"Fabulous hotel, historical, very well maintained and appointed. Great view of the zocalo from many of the rooms.",armando
388,4 de 5. Bueno,11 de dic de 2019,Sin reseña,Michel
389,5 de 5. Excelente,10 de dic de 2019,Sin reseña,Johanna
390,4 de 5. Bueno,9 de dic de 2019,Sin reseña,Cliente verificado
391,5 de 5. Excelente,9 de dic de 2019,Very charming place. I have an issue with the sound coming from outside of the building due to a concert however the management went above and beyond to make sure I felt comfortable and move me to another room. Great location at the historic religious and political center of Mexico City.,"Lina, Beverly Hills, CA USA"
392,5 de 5. Excelente,8 de dic de 2019,Sin reseña,Cliente verificado
393,5 de 5. Excelente,4 de dic de 2019,Sin reseña,price
394,5 de 5. Excelente,4 de dic de 2019,Property was absolutely gorgeous and very conveniently located.,"Mike, Snoqualmie, WA"
395,4 de 5. Bueno,4 de dic de 2019,"The lobby is breathtaking with its intricate ceiling. Our junior suite had a wonderful view of the Zocalo and was very comfortable and clean. The staff, with few exceptions, could not do more to make our stay pleasant.",Cliente verificado
396,5 de 5. Excelente,4 de dic de 2019,Our room was absolutely beautiful. You feel like you are staying in a museum.,Cliente verificado
397,5 de 5. Excelente,30 de nov de 2019,Sin reseña,Cliente verificado
398,5 de 5. Excelente,30 de nov de 2019,Unique and historical - once a department store. Tiffany glass ceiling is one of the biggest in the world. Excellent location right near the old square. (We preferred this location altho some may not.) Short walk to cathedral and new excavations.,Cliente verificado
399,5 de 5. Excelente,28 de nov de 2019,Unique hotel in Mexico City. Should be much more expensive given its perfect location and historic charm.,Cliente verificado
400,5 de 5. Excelente,25 de nov de 2019,This is by far my favorite hotel.,Kevin
401,4 de 5. Bueno,25 de nov de 2019,Sin reseña,S Blake
402,1 de 5. Terrible,21 de nov de 2019,Downtown Mexico City is very dangerous for tourists.,"Charming, AnytownUS"
403,5 de 5. Excelente,21 de nov de 2019,"Gran Hotel is beautiful and in a great location for walking around the historic area of Mexico City. The staff is amazing, always very friendly and very helpful. The upstairs restaurant was good as well and the view of the Zocalo was fantastic! We love that our suite looked out at the Zocalo as well, always a lot to watch out the windows!","JNeef, Boise, ID, USA"
404,5 de 5. Excelente,21 de nov de 2019,Sin reseña,Cliente verificado
405,5 de 5. Excelente,19 de nov de 2019,"There was nothing we didn't like. The hotel's interior is amazingly beautiful and the location couldn't be better. The daily breakfast buffet was delicious, and staff members throughout the hotel were very efficient and courteous. Thanks to a free and unexpected Expedia upgrade, we were given a more spacious room than the one we had booked; that was icing on the cake!",Cliente verificado
406,5 de 5. Excelente,18 de nov de 2019,"We had a fabulous time at The Grand Hotel Ciudad De Mexico. We booked the Suite with Zocolo view for the first 2 nights of our stay in Mexico City, and it was such a great location to tour the Museums durning the day, and then return for dinner and Margaritas on the Terazza in the evening. The bellman Javier and the Terazza manager Jorge were very welcoming and treated us very special, making sure we had a great table overlooking the Zocolo. Highly recommend this classic beauty.",ClaireFromYVR
407,5 de 5. Excelente,16 de nov de 2019,"Beautiful property, excellent location and very friendly staff. The room is spacious but a bit old. Overall, very nice hotel and we will come back.",Cliente verificado
408,4 de 5. Bueno,13 de nov de 2019,Sin reseña,Cliente verificado
409,5 de 5. Excelente,13 de nov de 2019,"Location, spacious & clean room, Friendly & professional staff, excellent restaurant. Everything top notch.","Joseph, Concord,MA"
410,4 de 5. Bueno,12 de nov de 2019,Love the grand old style and the excellent service offered by the staff. The impressive view of the Zócalo was a stunner. The double pane windows were great to quiet the room and the black put shades worked great. The property could use some updating and overall feels a bit tattered and worn. The spacious lobby with the beautiful Tiffany ceiling beckons for an active lobby bar or restaurant which is absent. The upstairs bar was empty and not inviting.,Cliente verificado
411,4 de 5. Bueno,8 de nov de 2019,ソカロでイベントが行われていて深夜まで騒がしく、よく眠れませんでした。,KAZUHARU
412,5 de 5. Excelente,2 de nov de 2019,"Beautiful hotel, full of history. Central location just around the corner from cathedral square. Excellent service and helpful staff, they even sorted out a late tour pick up for me. Beautiful rooms with free water and fruit daily, as well as coffee in rooms.",Cliente verificado
413,5 de 5. Excelente,28 de oct de 2019,Great location to see key attractions in the downtown core.,gregor
414,5 de 5. Excelente,26 de oct de 2019,"Beautiful property, nice room, excellent dinner on the top floor and great service overall",Cliente verificado
415,5 de 5. Excelente,25 de oct de 2019,"Paid great attention to details the people working there were dressed to be formal but accommodating. Rooms very comfortable with the air of antiquities. Very hard to combine both. Only problem we had Was the 1/2 step by the ladies bathroom on the mezzanine my wife tripped and fell. Otherwise, I would recommend Gran Hotel unconditionally","DrArmandRadke, Detroit lakes Minnesota"
416,5 de 5. Excelente,23 de oct de 2019,Sin reseña,David
417,4 de 5. Bueno,22 de oct de 2019,"Front desk personnel, Cynthia, was amazing! Very efficient and accommodating. Personnel was very nice, hotel is comfortable and has a fantastic location right in the heart of the Zócalo. Loved it!",Carmen
418,5 de 5. Excelente,22 de oct de 2019,Sin reseña,Alfredo
419,5 de 5. Excelente,21 de oct de 2019,Beautiful hotel in the historic city centre. Friendly staff and upgraded to a fantastic suite with views into the plaza. Great value too so definitely a great option if staying in Mexico City!,Ben
420,5 de 5. Excelente,21 de oct de 2019,"Travel with my small Emotional Support Animal - a little dog. This hotel is the most welcoming hotel where I travel in Mexico. All of the bellmen, especially Jorge, went out of their way to help at every opportunity! Their terrace restaurant has unobstructed views of the zocalo and the food is spectacular. Strongly suggest ordering from the grill. The made- at-the-table custom salsas made this a unique experience.",Carol
421,5 de 5. Excelente,20 de oct de 2019,We loved the iron works and stained glass on the ceiling. It was beautiful . The rooms were superb and Jaime was the best bell boy,Cliente verificado
422,5 de 5. Excelente,20 de oct de 2019,"We stayed here for 3 nights in March 2019. Being right at the Zocolo was fantastic. We walked the area morning, day and night. It is walking distance to the Palacio de Bellas Artes, and lots of great restaurants. Mexico City is such a beautiful city. We hope to return soon, and will definitely stay here again if it is available!","Mike, Thunder Bay, Canada"
423,5 de 5. Excelente,19 de oct de 2019,I absolutely loved that the hotel was so central to the Zocalo an the extremely service-oriented staff that helped us throughout our 4-night stay. The turn-of-the century period costumes that they wore was also a plus. The history of the building and grand architecture was also something to behold.,Edward Herman
424,5 de 5. Excelente,19 de oct de 2019,Great location! Employees were very helpful and corteous.,Cliente verificado
425,5 de 5. Excelente,18 de oct de 2019,"Your visit to Mexico City centre is not complete if you do not have a look of the Gran Hotel Ciudad de Mexico, which is just opposite the famed Metropolitan Cathedral. The Hotel's Art Nouveau architecture design at its highest level, with its emblematic Tiffany Stained Glass ceiling (one of the four biggest in the world) and the luxurious Louis XV Chandelier, will leave you an unforgettable impression. I stayed there for only one night and was fully impressed by their service, in particular Salvador at the Reception desk and Manuel Flores Cairo the Concierge. Their professionalism, efficiency and friendliness have certainly set a very high standard in the hotel industry. Amazing. Even if you do not stay there (inexpensive), please visit it to see it's great beauty with your own eyes. You will be shocked and amazed, enchanted like I did.",Siew
426,5 de 5. Excelente,17 de oct de 2019,Sin reseña,Cliente verificado
427,5 de 5. Excelente,16 de oct de 2019,従業員の心のこもったサービスに満足です。また、ソカロにあるため、観光には非常に便利です。,Cliente verificado
428,5 de 5. Excelente,16 de oct de 2019,Sin reseña,Cliente verificado
429,5 de 5. Excelente,14 de oct de 2019,"This place was amazing, and made us feel like we were VIPs! Location is very walkable and close to metro. We felt well cared for during our stay.",Nancy
430,5 de 5. Excelente,21 de oct de 2019,"Travel with my small Emotional Support Animal - a little dog. This hotel is the most welcoming hotel where I travel in Mexico. All of the bellmen, especially Jorge, went out of their way to help at every opportunity! Their terrace restaurant has unobstructed views of the zocalo and the food is spectacular. Strongly suggest ordering from the grill. The made- at-the-table custom salsas made this a unique experience.",Carol
431,5 de 5. Excelente,20 de oct de 2019,We loved the iron works and stained glass on the ceiling. It was beautiful . The rooms were superb and Jaime was the best bell boy,Cliente verificado
432,5 de 5. Excelente,20 de oct de 2019,"We stayed here for 3 nights in March 2019. Being right at the Zocolo was fantastic. We walked the area morning, day and night. It is walking distance to the Palacio de Bellas Artes, and lots of great restaurants. Mexico City is such a beautiful city. We hope to return soon, and will definitely stay here again if it is available!","Mike, Thunder Bay, Canada"
433,5 de 5. Excelente,19 de oct de 2019,I absolutely loved that the hotel was so central to the Zocalo an the extremely service-oriented staff that helped us throughout our 4-night stay. The turn-of-the century period costumes that they wore was also a plus. The history of the building and grand architecture was also something to behold.,Edward Herman
434,5 de 5. Excelente,19 de oct de 2019,Great location! Employees were very helpful and corteous.,Cliente verificado
435,5 de 5. Excelente,18 de oct de 2019,"Your visit to Mexico City centre is not complete if you do not have a look of the Gran Hotel Ciudad de Mexico, which is just opposite the famed Metropolitan Cathedral. The Hotel's Art Nouveau architecture design at its highest level, with its emblematic Tiffany Stained Glass ceiling (one of the four biggest in the world) and the luxurious Louis XV Chandelier, will leave you an unforgettable impression. I stayed there for only one night and was fully impressed by their service, in particular Salvador at the Reception desk and Manuel Flores Cairo the Concierge. Their professionalism, efficiency and friendliness have certainly set a very high standard in the hotel industry. Amazing. Even if you do not stay there (inexpensive), please visit it to see it's great beauty with your own eyes. You will be shocked and amazed, enchanted like I did.",Siew
436,5 de 5. Excelente,17 de oct de 2019,Sin reseña,Cliente verificado
437,5 de 5. Excelente,16 de oct de 2019,従業員の心のこもったサービスに満足です。また、ソカロにあるため、観光には非常に便利です。,Cliente verificado
438,5 de 5. Excelente,16 de oct de 2019,Sin reseña,Cliente verificado
439,5 de 5. Excelente,14 de oct de 2019,"This place was amazing, and made us feel like we were VIPs! Location is very walkable and close to metro. We felt well cared for during our stay.",Nancy
440,5 de 5. Excelente,9 de oct de 2019,"This is a great hotel.... Wonderful location, Beautiful building, Competent and friendly staff....the Rooftop Bar/ Restaurant overlooking the Zocolo is fantastic!",Sheila A
441,4 de 5. Bueno,8 de oct de 2019,"Location and staff the best, clean and very good service",Cliente verificado
442,5 de 5. Excelente,7 de oct de 2019,Sin reseña,Cliente verificado
443,5 de 5. Excelente,6 de oct de 2019,Sin reseña,William
444,5 de 5. Excelente,6 de oct de 2019,Sin reseña,Cliente verificado
445,5 de 5. Excelente,6 de oct de 2019,It was right at the historical center and so everything was in walking distance.,Cliente verificado
446,5 de 5. Excelente,5 de oct de 2019,"This is truly a special place. Historical, nostalgic, charming...with delicious food and wonderful service. And the location is amazing! We stayed 6 days, which was just right to explore the best of Mexico City. You won’t regret staying here!","Todd, Eugene Oregon"
447,5 de 5. Excelente,5 de oct de 2019,I love this hotel. Always I stay hrte every time I travel to Mexico City,Cliente verificado
448,5 de 5. Excelente,4 de oct de 2019,Sin reseña,Cliente verificado
449,5 de 5. Excelente,4 de oct de 2019,"The hotel ‘s terrace was unbelievable!! It’s view of the zócalo and cathedral was beautiful. The chandelier and the stained glass ceiling in the lobby made one feel that we were in an extra luxurious hotel. The staff was extra helpful, and the breakfast super. There was nothing to complain about. We will certainly stay at the Gran Hotel next time we are in Mexico City!","MariaTeresaEver, San Antonio, Texas"
450,4 de 5. Bueno,3 de oct de 2019,Don’t do laundry there. They stapler you clothes! Took me an hour to find and remove them,Cy
451,5 de 5. Excelente,2 de oct de 2019,"The hotel was amazing, the best that we have stayed in in Mexico. The rooms were clean and comfortable. The bathrooms were clean, up to date, and spacious. The food in the restaurants was delicious. We had breakfast every morning in El Cafe. The steaks in La Terraza restaurant were superior.",Gwen
452,5 de 5. Excelente,2 de oct de 2019,Sin reseña,Cliente verificado
453,4 de 5. Bueno,2 de oct de 2019,"Preis / Leistung stimmt Zentrale Lage, alle Sehenswürdigkeiten gut zu Fuß erreichbar",Cliente verificado
454,5 de 5. Excelente,28 de sep de 2019,"Everything was wonderful. The only thing i would say is the food needs more work, restaurant needs to better food quality for sure.",Cliente verificado
455,5 de 5. Excelente,27 de sep de 2019,Sin reseña,Rafael
456,5 de 5. Excelente,27 de sep de 2019,Great location and comfortable spacious rooms. Staff helpful.,Cliente verificado
