,opinion,año,mes,retroalimentacion
275,"Great staff, great food and great view.",2020,10,1
276,Very satisfied with the hotel... very happy! The service was excellent. I enjoy staying in the zócalo with has a great view from my room.,2020,10,1
277,"Loved the gorgeous building, huge rom with high ceilings and balcony. Polite, attentive, and knowledgeable staff. Restaurant food was not that great but the view was outstanding.",2020,10,1
278,Beautiful hotel with great views of the zocalo. Unfortunately the flag was not flying due to protests. Comfortable bed. Nice people. Restaurant was good but getting the bill took longer than I wished. Really cool staying in the hotel where 007 james bond was filmed. Filled with history. I think clinton and obama stayed here.,2020,10,1
279,"Warm welcome with glass of sparkling wine, fantastic staff, beautiful architecture, nice room, great location. My issue was not having an extra blanket and that the mattress was too hard for my taste",2020,10,1
280,Sin reseña,2020,10,1
281,"Amazing big rooms and friendly staff, close to everything.",2020,10,1
282,"Staff was great due to covid there was not alot people, also the restaurant was awesome!",2020,9,1
283,Everyone was extremely nice. Beautiful building. Great location.,2020,9,1
284,"Absolutely beautiful sane place to stay. During the covid times, beautiful view, staff are nice, clean premises and just wonderful.",2020,9,1
285,Sin reseña,2020,9,1
286,Beautiful place and the staff were great! Great location,2020,9,1
287,Sin reseña,2020,9,1
288,"1- Room 320 smells like mildew 2- Most rooms face an interior wall except the suites that face the street and zocalo. 3- Military style for entry and exit from hotel. They constantly ask you for name and room number even if you show your key and are leaving the hotel. I went to check the Terrace restaurant and a rude host asked me; are you a guest, what is your room number? Even after I explained I just wanted to take a look. Staff was overall unfriendly.",2020,9,0
289,Sin reseña,2020,8,1
290,Sin reseña,2020,10,1
291,"Amazing big rooms and friendly staff, close to everything.",2020,10,1
292,"Staff was great due to covid there was not alot people, also the restaurant was awesome!",2020,9,1
293,Everyone was extremely nice. Beautiful building. Great location.,2020,9,1
294,"Absolutely beautiful sane place to stay. During the covid times, beautiful view, staff are nice, clean premises and just wonderful.",2020,9,1
295,Sin reseña,2020,9,1
296,Beautiful place and the staff were great! Great location,2020,9,1
297,Sin reseña,2020,9,1
298,"1- Room 320 smells like mildew 2- Most rooms face an interior wall except the suites that face the street and zocalo. 3- Military style for entry and exit from hotel. They constantly ask you for name and room number even if you show your key and are leaving the hotel. I went to check the Terrace restaurant and a rude host asked me; are you a guest, what is your room number? Even after I explained I just wanted to take a look. Staff was overall unfriendly.",2020,9,0
299,Sin reseña,2020,8,1
300,"Amazing hotel, excellent service! Great location, FANTASTIC! Thanks",2020,3,1
301,"Hotel overlooks Mexico’s Zocalo, close to shopping in centro. We attended wedding at nearby cathedral & it was a pleasant walk. We had breakfast at Spanish Casino in centro histórico a short walk away.",2020,3,1
302,"Very friendly and helpful staff! Rooms were clean, location was excellent.",2020,3,1
303,"The property is beautiful, the view from the room was excellent. However we opened the windows to watch the activities on the Zocalo and in the evening there were mosquitos in the room.",2020,3,1
304,Absolutely fantastic in every way. For the price coming from the US you can stay at the fanciest hotel in Me,2020,3,1
305,Sin reseña,2020,3,1
306,"Best hotel in CDMX excellent services, great restaurants, definitely we will come back. The best location in the city",2020,3,1
307,Sin reseña,2020,3,1
308,Staff was helpful and friendly. Lots of museums and excellent restaurants within walking distance. The ‘Terraza’ or terrace bar offers a beautiful view of the main square (‘Zócalo).,2020,3,1
309,"I loved everything about the hotel. However, the restaurant was only OK and I did not like the bar cocktails.",2020,3,1
310,The lobby was very art nouveauand the staff was very acomodating.,2020,3,1
311,"This hotel is gorgeous--one of the most spectacular interiors we've seen anywhere in the world. It's like staying at a museum. The café, restaurant and bar are very suitable. The staff is pleasant, well informed and very helpful all speaking adequate English, if you are challenged with Spanish. The double room is very nice. The king bed had the best comfort of all the places we stayed during three weeks in Mexico. Warning: Talented street musicians perform all day and into the early night on the adjacent street (16 Sept.) which could interfere with an afternoon nap, but we found them delightful. If you want to visit the sites of the historic district the location is superb.",2020,3,1
312,great hotel in great location,2020,3,1
313,"Very nice rooms, spacious and comfortable, Very attentive staff. Pleasantly surprised!!! Perfect Valentine's weekend! We had an excellent dinner at rooftop terrace restaurant, especially the salad bar. Breakfast was equally as good. An older classic style hotel. We will definitely stay there again. On par with Four Seasons & Hotel Zavala.",2020,3,1
314,This historic beautiful hotel was centrally located right on the zocalo.,2020,3,1
315,The location on Zodico was perfect and the staff were outstanding. Historic building was beautiful.,2020,3,1
316,"Excellent service, room was very nice. Staff was very helpful",2020,3,1
317,Sin reseña,2020,3,1
318,Loved absolutely everything about this hotel except for the lack of an ice machine which is trivial,2020,3,1
319,Sin reseña,2020,3,1
320,"totally unique and gorgeous hotel. staff was wonderful. great location. a pool would have been nice, but you can't have everything.",2020,3,1
321,"Was beautiful, the staff was so accommodating, friendly. The rooms were immaculate in cleanliness and decoration very comfortable beds.",2020,3,1
322,Sin reseña,2020,2,1
323,Awesome thank you! Great treat! Beautiful. Great location!,2020,2,1
324,"Great location, helpful staff. Master suite huge. Good breakfast. Good value",2020,2,1
325,"location, Restaurant food quality, Style of the Lobby. View from Bar & restaurant",2020,2,1
326,Sin reseña,2020,2,1
327,Sin reseña,2020,2,1
328,"Our entire experience was beyond all our expectations, starting with the greeting of a glass of bubbly and an expresso during check-in.. A personalized goody tray was waiting for us in our room. We spent three exquisite hours on the terrace with a view of the church as our backdrop. it was difficult to leave the hotel to explore our surroundings. Only regret was not booking a longer stay.",2020,2,1
329,"I’m ecstatic . OMG what an amazing experience . This is the best that I have ever visited in my life . The staff amazing Cynthia at the Guest Services and Jose Luis , Manuel , Jorge and Salvador made my stay unforgettable . The room , fresh and clean , felt like royalty . My window mirrored el Zocalo , simply spectacular . Thank you !! Janet from Puerto Rico",2020,2,1
330,"totally unique and gorgeous hotel. staff was wonderful. great location. a pool would have been nice, but you can't have everything.",2020,3,1
331,"Was beautiful, the staff was so accommodating, friendly. The rooms were immaculate in cleanliness and decoration very comfortable beds.",2020,3,1
332,Sin reseña,2020,2,1
333,Awesome thank you! Great treat! Beautiful. Great location!,2020,2,1
334,"Great location, helpful staff. Master suite huge. Good breakfast. Good value",2020,2,1
335,"location, Restaurant food quality, Style of the Lobby. View from Bar & restaurant",2020,2,1
336,Sin reseña,2020,2,1
337,Sin reseña,2020,2,1
338,"Our entire experience was beyond all our expectations, starting with the greeting of a glass of bubbly and an expresso during check-in.. A personalized goody tray was waiting for us in our room. We spent three exquisite hours on the terrace with a view of the church as our backdrop. it was difficult to leave the hotel to explore our surroundings. Only regret was not booking a longer stay.",2020,2,1
339,"I’m ecstatic . OMG what an amazing experience . This is the best that I have ever visited in my life . The staff amazing Cynthia at the Guest Services and Jose Luis , Manuel , Jorge and Salvador made my stay unforgettable . The room , fresh and clean , felt like royalty . My window mirrored el Zocalo , simply spectacular . Thank you !! Janet from Puerto Rico",2020,2,1
340,Centrally located. Helpful sdtaff. Excellent breakfast. Recommend without reservation,2020,2,1
341,"The grandeur of the hotdl at such affordable rates, friendly restaurant staff, great night view from restaurant, comfortable place and right in yhr centre.",2020,2,1
342,Sin reseña,2020,2,1
343,Great Historic Site Great Staff Overal experience was fantastic,2020,2,1
344,Absolutely breathtaking! The service was second to none! The views were second to none! The hospitality was second to none! I truly felt like i was a king! The bellhop gave me a tour of the facilities and wouldn't allow me to carry ANYTHING! I got the opportunity to ride the oldest elevator in the western hemisphere! And much more. I will certainly visit again.,2020,2,1
345,Sin reseña,2020,2,1
346,La localizacion del hotel esta perfecta y cerca de muy buenos restaurants. En Alguns detalles creo q al hotel le hace falta renovarse para ser considerado un 5 estrellas,2020,2,1
347,"Loved staying this grand old lady. A wonderful architectural building of substance, updated with modern features such as heating etc done with integrity to its past.",2020,2,1
348,"Very good Hotel,. We wanted to stay there longer but they were booked up because of a wedding party arriving.",2020,1,1
349,Sin reseña,2020,1,1
350,"Bravo, Gran Hotel Cuidad de Mexico! We didn’t know what to expect booking this hotel… Sometimes the old grand dame hotels can go to seed, and you stay in a memory of a once great hotel. Not here. The minute you arrive the doorman greets you… leads you up the steps and to the desk and pours you a glass of champagne. From there it just got better. The Tiffany designed ceiling in the lobby is a marvel, set off by the ironwork fabricated in the Eiffel workshop in France. The friendly desk team of Celia, Javier, Jose Luis and Ramese was friendly and helpful. (What ever you need, they make it happen with a smile.) Our room was charming with floor to ceiling windows that opened onto the Zocalo. Service lovely, Setting in the middle of the action…. But above it all. We are giving it five stars.",2020,1,1
351,Sin reseña,2020,1,1
352,I like the historical back ground of the property and I also liked the front desk service.,2020,1,1
353,Everything was lovely!,2020,1,1
354,The public rooms of this grand historic hotel are beautiful with an amazing stained glass ceiling over the lobby. Our room looked right out to the zocolo and also had beautiful cathedral views. I would definitely recommend paying the extra price for a room with a view The room was quite large (especially for an older hotel) and comfortable. The bathroom was also large with nice amenities provided. The furnishings seemed rather dated in style but were in good condition. The on-site restaurant also had great views but the food was not the best.,2020,1,1
355,"Fantastiskt hotell i ett underbart område, får man chansen att bo där så ta den!",2020,1,1
356,"Beautiful early 20th century decor. Very central - right on the Zócalo. Room was clean, spacious, comfortable and quiet. Very good buffet restaurant was available.",2020,1,1
357,A beautiful hotel in every way with wonderful people and great architecture,2020,1,1
358,"This is the best Hotel we have visited in Mexico City, since the first moment you arrive you feel welcome, we got Champagne and my kids water, when we arrive at our room there was a dish with fruits and cholate for our reception, finally, when we left the hotel my two little ones got a stuff Lion from the Hotel this was the best surprise they had since that moment they carried for the rest of our trip, I am very happy and definitely will be my hotel for the next trip to Mexico City. Thank you so much to the staff and restaurant personnel",2020,1,1
359,"Excellent service, nice people, nice view, close to everything.",2020,1,1
360,"The hotel's location is great! We were steps away from the Zocalo and our room had a view facing it too. We stayed here during the Dios de Los Muertos so it was very crowded and noisy outside the hotel but we still managed to enjoy our stay. Our deluxe room was spacious, the bed was comfortable and the bathroom was huge! The hotel was clean and the staff was friendly and helpful. I can't wait to return to the Gran Hotel!",2020,1,1
361,Sin reseña,2020,1,1
362,Sin reseña,2020,1,1
363,This is an amazing hotel. The architecture and history of this building is impressive. The accommodations are very comfortable. Loved the bed.,2020,1,1
364,Sin reseña,2020,1,1
365,Heritage building with a lot of character and prime location on the Zocalo,2020,1,1
366,Sin reseña,2020,1,1
367,Sin reseña,2020,1,1
368,16世紀に建てられた歴史のある建築物をホテルに転用したものです。 入り口は観光名所としても有名で、天井のステンドグラスは美しいです。 部屋ももちろん快適で、ベッドが最高に快適です。 レストランもテラス席があり、ソカロが一望できるのでお勧めです。,2020,1,1
369,Sin reseña,2020,1,1
370,Sin reseña,2019,12,1
371,The staff was extremely attentive throughout our entire stay.,2019,12,1
372,Sin reseña,2019,12,1
373,Sin reseña,2019,12,1
374,"The hotel is located in the heart of the city easy access to the main points of interest. The staff members of the hotel are very kind, friendly they always have a smile in their face.",2019,12,1
375,立地はソカロ広場横でとても良いです。また、内装も007で使われただけありとても素敵でした。中でも、ティファニーの天井ステンドグラスは圧巻です。 お部屋の設備、アメニティも十分満足できます。不足のものがあれば、電話一本ですぐスタッフが部屋まで運んでくれます。ただ、週末はパーティが広場で行われているのか、夜はとてもうるさいです。深夜の３時ごろまで爆音が部屋まで響きます。防音がしっかりしている部屋か、静かな部屋に変更をお願いしましたが、そんな部屋はないので我慢してくれと言われました。その点を除けば、パーフェクトです。,2019,12,1
376,"Dos comentarios, los cuartos que dan al Zócalo son muy ruidosos y la caja fuerte está a una altura muy arriba, es difícil de manejarla. Todo lo demás excelente.",2019,12,1
377,Sin reseña,2019,12,1
378,Amazing building from 1897. just love the stain glass roof and beautiful old metal work. Great rooftop bar and Restaursnt. Excellent location,2019,12,1
379,Sin reseña,2019,12,1
380,"The Gran Hotel was perfect! My husband & I celebrated our anniversary in Mexico City. Upon our arrival at the hotel we were offered champagne and discovered we had received a room upgrade. This hotel is one of the most memorable hotels I have had the pleasure of staying in. The Tiffany canopy and old world charm of the Gran was an experience in itself. The staff was extremely attentive and responsive to our needs. Our room partially overlooked the Zocalo, and while it was a bit noisy at night we figured that was part of the whole experience. The Terraza Restaurant on the roof of the hotel was a great place to relax after a long day of sightseeing. The food and drinks were excellent, as was the staff. Thanks again Gran Hotel for a wonderful experience!",2019,12,1
381,Sin reseña,2019,12,1
382,"the historical beauty surrounding us and the excellent , kind and attentive staff",2019,12,1
383,Sin reseña,2019,12,1
384,Very convenient to everything around the major spots..,2019,12,1
385,Sin reseña,2019,12,1
386,Amazing hotel and outstanding service... The interior lobby is unreal. I would stay here and again and would definitely recommend others as well.,2019,12,1
387,"Fabulous hotel, historical, very well maintained and appointed. Great view of the zocalo from many of the rooms.",2019,12,1
388,Sin reseña,2019,12,1
389,Sin reseña,2019,12,1
390,Sin reseña,2019,12,1
391,Very charming place. I have an issue with the sound coming from outside of the building due to a concert however the management went above and beyond to make sure I felt comfortable and move me to another room. Great location at the historic religious and political center of Mexico City.,2019,12,1
392,Sin reseña,2019,12,1
393,Sin reseña,2019,12,1
394,Property was absolutely gorgeous and very conveniently located.,2019,12,1
395,"The lobby is breathtaking with its intricate ceiling. Our junior suite had a wonderful view of the Zocalo and was very comfortable and clean. The staff, with few exceptions, could not do more to make our stay pleasant.",2019,12,1
396,Our room was absolutely beautiful. You feel like you are staying in a museum.,2019,12,1
397,Sin reseña,2019,11,1
398,Unique and historical - once a department store. Tiffany glass ceiling is one of the biggest in the world. Excellent location right near the old square. (We preferred this location altho some may not.) Short walk to cathedral and new excavations.,2019,11,1
399,Unique hotel in Mexico City. Should be much more expensive given its perfect location and historic charm.,2019,11,1
400,This is by far my favorite hotel.,2019,11,1
401,Sin reseña,2019,11,1
402,Downtown Mexico City is very dangerous for tourists.,2019,11,0
403,"Gran Hotel is beautiful and in a great location for walking around the historic area of Mexico City. The staff is amazing, always very friendly and very helpful. The upstairs restaurant was good as well and the view of the Zocalo was fantastic! We love that our suite looked out at the Zocalo as well, always a lot to watch out the windows!",2019,11,1
404,Sin reseña,2019,11,1
405,"There was nothing we didn't like. The hotel's interior is amazingly beautiful and the location couldn't be better. The daily breakfast buffet was delicious, and staff members throughout the hotel were very efficient and courteous. Thanks to a free and unexpected Expedia upgrade, we were given a more spacious room than the one we had booked; that was icing on the cake!",2019,11,1
406,"We had a fabulous time at The Grand Hotel Ciudad De Mexico. We booked the Suite with Zocolo view for the first 2 nights of our stay in Mexico City, and it was such a great location to tour the Museums durning the day, and then return for dinner and Margaritas on the Terazza in the evening. The bellman Javier and the Terazza manager Jorge were very welcoming and treated us very special, making sure we had a great table overlooking the Zocolo. Highly recommend this classic beauty.",2019,11,1
407,"Beautiful property, excellent location and very friendly staff. The room is spacious but a bit old. Overall, very nice hotel and we will come back.",2019,11,1
408,Sin reseña,2019,11,1
409,"Location, spacious & clean room, Friendly & professional staff, excellent restaurant. Everything top notch.",2019,11,1
410,Love the grand old style and the excellent service offered by the staff. The impressive view of the Zócalo was a stunner. The double pane windows were great to quiet the room and the black put shades worked great. The property could use some updating and overall feels a bit tattered and worn. The spacious lobby with the beautiful Tiffany ceiling beckons for an active lobby bar or restaurant which is absent. The upstairs bar was empty and not inviting.,2019,11,1
411,ソカロでイベントが行われていて深夜まで騒がしく、よく眠れませんでした。,2019,11,1
412,"Beautiful hotel, full of history. Central location just around the corner from cathedral square. Excellent service and helpful staff, they even sorted out a late tour pick up for me. Beautiful rooms with free water and fruit daily, as well as coffee in rooms.",2019,11,1
413,Great location to see key attractions in the downtown core.,2019,10,1
414,"Beautiful property, nice room, excellent dinner on the top floor and great service overall",2019,10,1
415,"Paid great attention to details the people working there were dressed to be formal but accommodating. Rooms very comfortable with the air of antiquities. Very hard to combine both. Only problem we had Was the 1/2 step by the ladies bathroom on the mezzanine my wife tripped and fell. Otherwise, I would recommend Gran Hotel unconditionally",2019,10,1
416,Sin reseña,2019,10,1
417,"Front desk personnel, Cynthia, was amazing! Very efficient and accommodating. Personnel was very nice, hotel is comfortable and has a fantastic location right in the heart of the Zócalo. Loved it!",2019,10,1
418,Sin reseña,2019,10,1
419,Beautiful hotel in the historic city centre. Friendly staff and upgraded to a fantastic suite with views into the plaza. Great value too so definitely a great option if staying in Mexico City!,2019,10,1
420,"Travel with my small Emotional Support Animal - a little dog. This hotel is the most welcoming hotel where I travel in Mexico. All of the bellmen, especially Jorge, went out of their way to help at every opportunity! Their terrace restaurant has unobstructed views of the zocalo and the food is spectacular. Strongly suggest ordering from the grill. The made- at-the-table custom salsas made this a unique experience.",2019,10,1
421,We loved the iron works and stained glass on the ceiling. It was beautiful . The rooms were superb and Jaime was the best bell boy,2019,10,1
422,"We stayed here for 3 nights in March 2019. Being right at the Zocolo was fantastic. We walked the area morning, day and night. It is walking distance to the Palacio de Bellas Artes, and lots of great restaurants. Mexico City is such a beautiful city. We hope to return soon, and will definitely stay here again if it is available!",2019,10,1
423,I absolutely loved that the hotel was so central to the Zocalo an the extremely service-oriented staff that helped us throughout our 4-night stay. The turn-of-the century period costumes that they wore was also a plus. The history of the building and grand architecture was also something to behold.,2019,10,1
424,Great location! Employees were very helpful and corteous.,2019,10,1
425,"Your visit to Mexico City centre is not complete if you do not have a look of the Gran Hotel Ciudad de Mexico, which is just opposite the famed Metropolitan Cathedral. The Hotel's Art Nouveau architecture design at its highest level, with its emblematic Tiffany Stained Glass ceiling (one of the four biggest in the world) and the luxurious Louis XV Chandelier, will leave you an unforgettable impression. I stayed there for only one night and was fully impressed by their service, in particular Salvador at the Reception desk and Manuel Flores Cairo the Concierge. Their professionalism, efficiency and friendliness have certainly set a very high standard in the hotel industry. Amazing. Even if you do not stay there (inexpensive), please visit it to see it's great beauty with your own eyes. You will be shocked and amazed, enchanted like I did.",2019,10,1
426,Sin reseña,2019,10,1
427,従業員の心のこもったサービスに満足です。また、ソカロにあるため、観光には非常に便利です。,2019,10,1
428,Sin reseña,2019,10,1
429,"This place was amazing, and made us feel like we were VIPs! Location is very walkable and close to metro. We felt well cared for during our stay.",2019,10,1
430,"Travel with my small Emotional Support Animal - a little dog. This hotel is the most welcoming hotel where I travel in Mexico. All of the bellmen, especially Jorge, went out of their way to help at every opportunity! Their terrace restaurant has unobstructed views of the zocalo and the food is spectacular. Strongly suggest ordering from the grill. The made- at-the-table custom salsas made this a unique experience.",2019,10,1
431,We loved the iron works and stained glass on the ceiling. It was beautiful . The rooms were superb and Jaime was the best bell boy,2019,10,1
432,"We stayed here for 3 nights in March 2019. Being right at the Zocolo was fantastic. We walked the area morning, day and night. It is walking distance to the Palacio de Bellas Artes, and lots of great restaurants. Mexico City is such a beautiful city. We hope to return soon, and will definitely stay here again if it is available!",2019,10,1
433,I absolutely loved that the hotel was so central to the Zocalo an the extremely service-oriented staff that helped us throughout our 4-night stay. The turn-of-the century period costumes that they wore was also a plus. The history of the building and grand architecture was also something to behold.,2019,10,1
434,Great location! Employees were very helpful and corteous.,2019,10,1
435,"Your visit to Mexico City centre is not complete if you do not have a look of the Gran Hotel Ciudad de Mexico, which is just opposite the famed Metropolitan Cathedral. The Hotel's Art Nouveau architecture design at its highest level, with its emblematic Tiffany Stained Glass ceiling (one of the four biggest in the world) and the luxurious Louis XV Chandelier, will leave you an unforgettable impression. I stayed there for only one night and was fully impressed by their service, in particular Salvador at the Reception desk and Manuel Flores Cairo the Concierge. Their professionalism, efficiency and friendliness have certainly set a very high standard in the hotel industry. Amazing. Even if you do not stay there (inexpensive), please visit it to see it's great beauty with your own eyes. You will be shocked and amazed, enchanted like I did.",2019,10,1
436,Sin reseña,2019,10,1
437,従業員の心のこもったサービスに満足です。また、ソカロにあるため、観光には非常に便利です。,2019,10,1
438,Sin reseña,2019,10,1
439,"This place was amazing, and made us feel like we were VIPs! Location is very walkable and close to metro. We felt well cared for during our stay.",2019,10,1
440,"This is a great hotel.... Wonderful location, Beautiful building, Competent and friendly staff....the Rooftop Bar/ Restaurant overlooking the Zocolo is fantastic!",2019,10,1
441,"Location and staff the best, clean and very good service",2019,10,1
442,Sin reseña,2019,10,1
443,Sin reseña,2019,10,1
444,Sin reseña,2019,10,1
445,It was right at the historical center and so everything was in walking distance.,2019,10,1
446,"This is truly a special place. Historical, nostalgic, charming...with delicious food and wonderful service. And the location is amazing! We stayed 6 days, which was just right to explore the best of Mexico City. You won’t regret staying here!",2019,10,1
447,I love this hotel. Always I stay hrte every time I travel to Mexico City,2019,10,1
448,Sin reseña,2019,10,1
449,"The hotel ‘s terrace was unbelievable!! It’s view of the zócalo and cathedral was beautiful. The chandelier and the stained glass ceiling in the lobby made one feel that we were in an extra luxurious hotel. The staff was extra helpful, and the breakfast super. There was nothing to complain about. We will certainly stay at the Gran Hotel next time we are in Mexico City!",2019,10,1
450,Don’t do laundry there. They stapler you clothes! Took me an hour to find and remove them,2019,10,1
451,"The hotel was amazing, the best that we have stayed in in Mexico. The rooms were clean and comfortable. The bathrooms were clean, up to date, and spacious. The food in the restaurants was delicious. We had breakfast every morning in El Cafe. The steaks in La Terraza restaurant were superior.",2019,10,1
452,Sin reseña,2019,10,1
453,"Preis / Leistung stimmt Zentrale Lage, alle Sehenswürdigkeiten gut zu Fuß erreichbar",2019,10,1
454,"Everything was wonderful. The only thing i would say is the food needs more work, restaurant needs to better food quality for sure.",2019,9,1
455,Sin reseña,2019,9,1
456,Great location and comfortable spacious rooms. Staff helpful.,2019,9,1
457,Sin reseña,2019,9,1
458,これ以上ない立地条件のよさ,2019,9,1
459,"Personnel très dévoué, chambre énorme et confortable, vue sur la place de Mexico, quoi de mieux!!",2019,9,1
460,Don’t do laundry there. They stapler you clothes! Took me an hour to find and remove them,2019,10,1
461,"The hotel was amazing, the best that we have stayed in in Mexico. The rooms were clean and comfortable. The bathrooms were clean, up to date, and spacious. The food in the restaurants was delicious. We had breakfast every morning in El Cafe. The steaks in La Terraza restaurant were superior.",2019,10,1
462,Sin reseña,2019,10,1
463,"Preis / Leistung stimmt Zentrale Lage, alle Sehenswürdigkeiten gut zu Fuß erreichbar",2019,10,1
464,"Everything was wonderful. The only thing i would say is the food needs more work, restaurant needs to better food quality for sure.",2019,9,1
465,Sin reseña,2019,9,1
466,Great location and comfortable spacious rooms. Staff helpful.,2019,9,1
467,Sin reseña,2019,9,1
468,これ以上ない立地条件のよさ,2019,9,1
469,"Personnel très dévoué, chambre énorme et confortable, vue sur la place de Mexico, quoi de mieux!!",2019,9,1
470,Sin reseña,2019,9,1
471,"Majestuoso hotel historico con la mejor ubicacion en el centro de la ciudad de Mexico, vista increible desde el restaurante en terraza. Servicio y atenciones de primera",2019,9,1
472,Best hotel I have ever stayed at. Everyone is very nice and helpful.,2019,9,1
473,Sin reseña,2019,9,1
474,I love it the place great staff great facilities super recommended,2019,9,1
475,Sin reseña,2019,9,1
476,"Everything was good, The service was excellent. Very Nice.",2019,9,1
477,I was simply booking one night to stay in the city before business trip and was looking for something within walking distance of tourist spots and this place ended up being a total gem! Service was absolutely exceptional and the room itself was beautiful and comfortable. It was more than expected and I've already suggested this place to other friends.,2019,8,1
478,"This hotel is just amazing. The facilities are very clean, the staff is friendly and always there to assist the guests. Excellent location in the heart of downtown Mexico City. I would certainly go back and stay there.",2019,8,1
479,サービスがとても良かった,2019,8,1
480,Sin reseña,2019,9,1
481,"Majestuoso hotel historico con la mejor ubicacion en el centro de la ciudad de Mexico, vista increible desde el restaurante en terraza. Servicio y atenciones de primera",2019,9,1
482,Best hotel I have ever stayed at. Everyone is very nice and helpful.,2019,9,1
483,Sin reseña,2019,9,1
484,I love it the place great staff great facilities super recommended,2019,9,1
485,Sin reseña,2019,9,1
486,"Everything was good, The service was excellent. Very Nice.",2019,9,1
487,I was simply booking one night to stay in the city before business trip and was looking for something within walking distance of tourist spots and this place ended up being a total gem! Service was absolutely exceptional and the room itself was beautiful and comfortable. It was more than expected and I've already suggested this place to other friends.,2019,8,1
488,"This hotel is just amazing. The facilities are very clean, the staff is friendly and always there to assist the guests. Excellent location in the heart of downtown Mexico City. I would certainly go back and stay there.",2019,8,1
489,サービスがとても良かった,2019,8,1
490,Sin reseña,2019,8,1
491,素晴らしかったです。ただ名物のエレベーターがチェックイン時に案内され一度しか乗れなかったことが残念。　相当な築年数のためか部屋もフィットネスルームの床も完全に傾いていました。若干酔いました。　それでもまた次回行った際もここに泊まりたいと思います。,2019,8,1
492,"Everything was amazing, great service and a lot of security",2019,8,1
493,Sin reseña,2019,8,1
494,"Good stay at this iconic hotel thanks to its great style and a very friendly staff from check-in to check-out. The place is a must-to-see when visiting Mexico city because of its unique decoration and great location. The room was nice, spacy and clean. On the down side, our last night was difficult because of a very loud wedding party on the 1rst floor just below us until 2 AM... Need to avoid this kind of major disturbance for the customers’sleep.",2019,8,1
495,Sin reseña,2019,8,1
496,"Incredible views, staff very attentive, room was gorgeous, the bed however wasn’t tooooo comfortable. It was a great hotel overall !",2019,8,1
497,The desing. The elevators. The room . Everything is unique about this hotel. Im definetly going back,2019,8,1
498,1人旅で宿泊。ホテルのスタッフはホテルの建築について説明してくださり、とても誇りに思う様子が伝わりました。部屋も広くて快適。ソカロも眺めることができ、快適に過ごすことができました。ありがとうございました。 屋上のレストランも利用しましたが、眺望もよく美味しくいただきました。,2019,8,1
499,"My favorite hotel , It’s so peaceful and great service",2019,8,1
500,Sin reseña,2019,8,1
501,Sin reseña,2019,8,1
502,The old fashioned art deco charm!! Absolutely beautiful and the staff were superb. Our room was beautiful and very spacious.,2019,8,1
503,We loved the location and hospitality. Definitely going back:),2019,7,1
504,"The hotel is super nice and close to good areas, the employees are awesome they do everything to keep customers happy and satisfied, I really recommend this hotel.",2019,7,1
505,"The building is gorgeous! Staff are very friendly. We found out helpful that they are able to store our luggage before we checked in and after check out. They offer coffee and tea all day. On every floor they have apples and water bottles for guests, also free. The restaurant that over looks El Zocalo is special! We highly recommend the stay.",2019,7,1
506,Sin reseña,2019,7,1
507,Sin reseña,2019,7,1
508,Sin reseña,2019,7,1
509,"Die Lage, die Geschichte, das Personal, der Fahrer Christian super freundlich und zuvorkommend",2019,7,1
510,Sin reseña,2019,7,1
511,Customer Service was Great! The view from the restaurant is amazing!,2019,7,1
512,It is one of the most amazing/beautiful/grandest hotels I’ve had the pleasure of staying in and that wasn’t the best part of our stay.It was the courteous/professional staff,2019,7,1
513,Sin reseña,2019,7,1
514,Sin reseña,2019,7,1
515,Great hotel.,2019,7,1
516,"Fantastic place. If you have a room facing the Zócalo it was loud due to protests and gatherings early in the morning. If you are sleeping on the pull out bed it is not very comfortable. So be prepared to deal with that. Besides that, great service and facilities.",2019,7,1
517,"I stay at least one night in this place, every time I visit México. This is a must. Everything is perfect. The staff is 💯 always, always. Gracias mil.🙏🇲🇽",2019,7,1
518,"The location is great, right in the heart of the city. The rooms are very quiet, pretty sure the windows are sound proof because there were music bands playing right by my window and I couldn't hear them unless I opened the window. The one thing that was odd was no room service after 23:00.",2019,7,1
519,Beautiful decor! One of a kind setting and very helpful staff.,2019,7,1
520,Sin reseña,2019,7,1
521,Customer Service was Great! The view from the restaurant is amazing!,2019,7,1
522,It is one of the most amazing/beautiful/grandest hotels I’ve had the pleasure of staying in and that wasn’t the best part of our stay.It was the courteous/professional staff,2019,7,1
523,Sin reseña,2019,7,1
524,Sin reseña,2019,7,1
525,Great hotel.,2019,7,1
526,"Fantastic place. If you have a room facing the Zócalo it was loud due to protests and gatherings early in the morning. If you are sleeping on the pull out bed it is not very comfortable. So be prepared to deal with that. Besides that, great service and facilities.",2019,7,1
527,"I stay at least one night in this place, every time I visit México. This is a must. Everything is perfect. The staff is 💯 always, always. Gracias mil.🙏🇲🇽",2019,7,1
528,"The location is great, right in the heart of the city. The rooms are very quiet, pretty sure the windows are sound proof because there were music bands playing right by my window and I couldn't hear them unless I opened the window. The one thing that was odd was no room service after 23:00.",2019,7,1
529,Beautiful decor! One of a kind setting and very helpful staff.,2019,7,1
530,Friendly and very professional staff. Elegant and well maintained property.,2019,6,1
