,Descripción,Año,Mes,retroalimentacion
253,buen lugar descansar terraza cutre aveces imposible encontrar sillas disponible sentarte bien,2020,4,1
254,trato parte empleados bueno amable ubicación inmejorable,2019,4,1
255,edificio pierde espíritu compartir lugares comunes hostels mas pequeños limpieza aceptable así dormitorios ubicación estratégica conocer centro histórico ruidos día plaza terraza,2019,4,0
256,Barato buena ubicación cómodo internet casi nunca conectó Si quieres vida nocturno perfecto abre bar noches si quieres tranquilo definitivamente opción,2019,4,0
257,Excelente Ubicacion servicios bien seguro aprecia ciudad personal amable momento relacion costobeneficio buena terrazas supervista recomiendo ampliamente visita…,2020,4,1
258,buen hostel falta amabilidad staff,2020,4,1
259,QUIZAS HORARIOS RECEPCION AUSENTE LUGAR CONFORTABLE PASAR NOCHE UBICACION EXCELENTE LOCKERS BASTANTE BIEN TAMAÑO IMPORTANTE SI VIAJA LIGERO,2020,4,1
260,inmejorable ubicación Hostel permitió manejarme bien ciudad recorrerla además buena predisposición personal siempre ayudándome indicaciones usar metro llegar lugares interés desayuno riquísimo abundante,2019,4,1
261,gusta mundo joven vistas  ubicación precio calidad justo cada vez amables ,2020,4,1
262,Excelente ubicacion pequeñas solo persona,2020,4,1
263,encanta ubicación inmejorable aunque pleno zócalo da sensación seguridad tiempo cruce encuentran policía casi cualquier hora ser salida de…,2020,4,1
264,estancia mundo joven pareció lugar agradable completo ofrece único detalle fechas fin años duplicaron precio hospedaje pude seguir quedándome ahi bien desayuno servicio bar terraza,2019,4,1
265,Excelente lugar pasar noche después aventura CDMX limpieza podría mejorar embargo atención personal vista parte superior espectacular,2019,4,1
266,Falto mas limpieza resto general bueno buen desayuno buenas camas buena ubicación,2019,4,1
267,Excelente ligar excelente ubicación bien precio buen ambiente,2020,4,1
268,cuarto problema bombilla funcionaba arreglaron bien notoficó eso trato personal excelente buenas atenciones,2019,4,1
269,gran experiencia estancia hostal gente amable atiende mejor forma posible cierto saludo especial guapo pelo largo tatuado atendio recepcion buen pedo solo estaria chido metieran aire acondicionado temporada calor,2020,4,1
270,terraza bar bastante bueno escuchar música tomar bebidas buena vista noche,2019,4,1
271,máximo acogedor realmente casa,2020,4,1
272,My experiencia estancia tan buena reconozco quizas contro deben hacer cumplir normas  companeros cuarto hicieron ruido temprano irse trabajar prendiendo todas luces respetar demas gusto acciones ellos,2020,4,0
273,Podrían mejorar aseo baño camas  confortables,2020,4,0
274,Mala atención recepción,2020,4,0
275,ambiente super agradable sentimos seguros dudarlo usarìamos nuevamente servicios,2019,4,1
276,Realmento buena experiencia quedé privada compartidos roomates amables único malo hace calor día minisplits aparte cuarto dónde…,2019,4,1
277,mundo jovenpor atenciones hacia esposayo quedé satisfecho el serviciola atenciónla comodidadel bufet barrestaurantla ubicaciontodo exelentegracias mundo joven atenciones hacia nosotrosfue agradable experiencia ATTE  Fermin Carrillo,2019,4,1
278,Hermoso lleno vida Mucha gente distintas partes mundo ganas disfrutar ayudar buena ubicación,2018,4,1
279,ubicación buena cómoda instalaciones también Deja desear organización mismo respecto personal pareciera hablando alguien responsable sino mas bien…,2019,4,0
280,Excelente lugar Buena vista terraza amables,2020,4,1
281,Solo falta televisión terraza joya,2020,8,1
282,Buen ambiente desayuno suficiente manana general bien,2019,4,1
283,Ubicación excelente seguro personal amable indispensable pasar noche Solo falta tener banca dentro cuarto sentarse cambiarse ahí excelente lugar,2018,4,1
284,caro q ofrecen,2020,4,0
285,gusto bastante Hostal segunda ocasiona ahí gusta flexibilidad buen trato viajero recomiendo definitivamente quedare ahí veces visite México,2019,4,1
286,Excelente jóvenes edad mente vayan si quieren lugar tranquilo ruido Ubicación insuperable precio accesible Recomendable,2017,4,1
287,Increíble vista centro histórico terrazabar fines semana música vivo Ambiente relajado,2018,4,1
288,CENTRICO HABITACION PRIVADA BAÑO PRIVADA SOLO ENTRABA CAMA LOKER DESAYUNO TRES DIAS ESTUBE DI CUENTA SIEMPRE PONEN PANES AYER DESAYUNO TERMINAN PANES AYER Y…,2019,4,0
289,Hace par años hospede primera vez MUNDO JOVEN Catedral grata experiencia trataba buen lugar descansar politica NO RUIDO Debido anterior volví reservar ahora que…,2019,4,0
290,desayuno sirve personal restaurante calidad servicio cliente aún así quieren propina control bar arriba gente baja tarde haciendo escándalo demas excelente buena ubicacion seguro personal lobby atento,2019,4,1
291,Hermoso lugar buena atención bien ubicado,2019,4,1
292,buena experiencia hostel ubicación excelente trato personal bueno amable bueno jóvenes personas quieran disfrutar pasear salir conocer ciudad,2018,4,1
293,Trato excelente  limpias económico super seguro,2019,4,1
294,lugar confortable responsable ambiente cuenta llaves desperdician agua focos sensor movimiento jueves jazz terraza pasos zócalo conoce gente joven países servicio buenoTotalmente recomendable,2019,4,1
295,comenzar ubicación perfecta pues centro histórico escasos metros chicos recepción amables ayudan ubicarte cómodas restaurante delicioso terraza vista envidiable,2019,4,1
296,Buena ubicación  espacios bien internet bloquea Netflix sitios  desayuno ofrece verdad,2019,4,0
297,Deben dar seguridad tranquilidad hospeda Abrieron puerta mientras dormia parecer dieron habitacion persona  mientras alli servicio desayuno debe ser calidad ejemplo  café margarina mala calidad etc,2019,4,0
298,Superó expectativas atención personal buenisima lugar lindo cómodas limpieza diaria buena desayuno variado abundante terraza bar puede…,2019,4,1
299,paso corto hospede únicamente  días dos días suficientes querer volver próxima visita lugar cómodo limpieza aceptable Excelente punto convivencia internacional y…,2019,4,1
300,Buena ubicacion buena atencion excelente desayuno Buen servicio,2020,4,1
301,servicio ofrecen bien lugar siempre limpio cómodo ubicación propia detalle mas últimos dos días estancia toco calor contaba abanico ahí perfecto,2019,4,1
302,lugar bonito personal amable aunque hace falta personal limpieza,2020,4,0
303,Siempre quedo satisfecho atención cliente organización limpieza lugar,2020,4,1
304,bonito excelente concepto seguridad música restaurant volumen exagerado atormenta pide bajen pelan,2019,4,1
305,servicio bueno ayudaron todo solo queja ruido noches fiesta justo encima así escuchó am demás bien,2020,4,1
306,lugar excelente ubicación desayunos buenos variados atención grata Pues pedi varias ocasiones cambio mamá llegabamos quinto piso nunca…,2019,4,0
307,limpio precios accesibles rededor  noche compartida opinión bien ubicado costado catedral ciudad México cuenta cocinera  terrazas restaurante agradable recomendable pasar buen rato conocer nuevos amigos,2019,4,1
308,Buena ubicación limpieza ambiente en terraza compartidas pequeñas afecta igual solo necesita dormir mejorar desayuno aunque puede esperar si pagás  noche,2018,4,1
309,Si quieres dormir definitivamente vayas Mundo Joven Catedral excesivamente ruidoso noche créeme vas dormir Si descansas adecuadamente día siguiente vas andar zombie vale pena hosteles…,2019,4,0
310,Lugar cómodo bastante limpio chavos super atentos  recomendable,2019,4,1
311,genial ambiente manejan personan atención pésima puedes tarde  pm amigos compartiendo espacio relax prohíben entrar espacios compañeros si…,2019,4,0
312,buen lugar  bueno bonito barato solo limpieza  ahí bien,2020,4,1
313,excele lugar pasar incluso dias Limpio economico ubicacion accesible todo,2019,4,1
314,Ame lugar seguro limpio amables agradecida recepcionista mañana nombre heroe Vacaciones ¡¡ Mil Gracias ,2019,4,1
315,Excelente lugar ospedarse 😉,2020,4,1
316,Exelente dunda buen lugar,2020,4,1
317,Excelente hostal,2020,4,1
318,Buena relación calidad  precio servicio limpieza desayuno buenos,2020,4,1
319,siempre gustado muchísimo espero siga siendo así bueno siempre,2019,4,1
320, cuarto decirme nada sacaron cosas guardaron detrás recepción llegue cuarto lleno gente lockers mochila cosas olvidado suerte perdí…,2019,4,0
321,Servicio estándar habia comprar jabonshampooy candados lockers,2019,4,0
322,Excelente ubicación trato amable ruidoso poca ventilación si abres ventana ve gente enfrente Creo chavos bien gente adulta resultó incómodo,2019,4,0
323,buena ubicación sólo baño creo muchas personas amables lugar limpios super tranquilo  gustó,2019,4,0
324,Excelente servicio habitaciones u ico malo sábanas litera resto maravilloso,2020,4,1
325,buena atención baño privado cómodas limpieza excelente ubicación hablar A pleno Zócalo seguridad turista máximo único advertir usar taxis locales aprovechan turistas mejor UBER,2019,4,1
326,lugar general bueno ruido fines semana,2020,4,0
327,gustó localización hostal Creo desayuno incluido deberían variar comida días sirvieron mismo único incoveniente inconveniente última…,2019,4,0
328,ubicado locación privilegiada dentro centro ciudad importante camas cómodas cuenta necesitas viaje vista terraza bar hermosa pocas la…,2019,4,1
329,bien brevemente trataron maravilla noté instalaciones cómodas Excelente ubicación personal atento amable Cuentan guarda equipaje encargado siempre atento baños lobby están…,2019,4,1
330,super vista cómoda ubicación cuarto pequeño comodo,2019,4,1
331,atención buena chicos super serviciales buenas sólo falta aire acondicionado,2020,4,1
332,costo acceso si bien accesible elevado ofrecen mismo bebidas ambiente buenos Volvería gusto,2018,4,1
333,encanta ubicación súper centrica alrededores,2019,4,1
334,personal súper amable cuartos agradables limpios bien ubicado,2019,4,1
335,encantó lugar personas calidad amables hace estadía grata además propiciar amistades huéspedes,2019,4,1
336,opinión meramente personal carácter meramente constructivo estadía quedaba super cerca zócalo podía escoger buses diferentes tours ofrecen hotel precios la…,2019,4,0
337,lugar bien puerta baño cierra podía trabar baño compartido dos cuatro camas problema Espero solucionen,2019,4,1
338,mucha ayuda practico,2019,4,1
339,ubicacion execelente respeto toures,2019,4,1
340,bien excepto sábanas sucias desayuno demasiado sencillo eso demás bien,2019,4,1
341,bueno ubicación excelente,2019,4,1
342,Demasiado caro terraza vuela llueve,2020,4,0
343,mejor terraza ubicación demás regular limpieza mejor los baños bien tampoco molestó trato da señor gafas maneja varias cosas…,2018,4,0
344,bien ubicado personal recepciòn amables instalaciones cuestion precio deja desear tenia agua caliente habia jabon toalla toco bajar solicitar control televisor Escogì…,2019,4,0
345,disco arriba varios dias estadía abierta madrugada dificil descansar musica cocina equipada  siquiera cubiertos taza hacerse té tuvimos…,2019,4,0
346,ubicación céntrica suma personal ayuda dudas tengas puede mejor atención ciertos aspectos llegué pudieron ofrecerme agua tomar indicar conseguirla,2018,4,1
347,Excelente ubicación buen precio Si quieres descansar  am olvídalo ruido bar terraza,2019,4,0
348,hosteles dan barra pequeña jabón shampoo aquí eso baño súper sucio alguna chicas quedaron infección…,2019,4,0
349,buen lugar hospedarse vista zocalo buen precio,2019,4,1
350,conocí dentro bello vista da hacia Zócalo restaurante pequeño buen sazón buenos tragos,2019,4,1
351,hospedaje ninguna queja definitivamente volveré volveré siento cómodo seguro ahí recomiendo mejoren servicio de atención clientes desayuno di cuenta el…,2018,4,1
352,Excelente lugar mejor servicio buen precio,2020,4,1
353,buena opción corta estancia México  B Bueno Bonito Barato positivo Creo deben mejorar página web reservaciones confusas Gracias,2018,4,1
354,general favorito siempre conozco gente países amables aún personal tkm nunca cambien,2020,4,1
355,lugar pasar solo noche,2019,4,0
356,instalaciones bien precio ubicación magnífica recepcionistas podrían deberían ser amables lugar así debe tener servicio prioridad,2019,4,0
357,lugar vista increíble precios razonables embargo pareciera vez jigger sirven alcohol gotero bebimos    salimos tan sobrios entramos ,2019,4,0
358,lugar acogedor buena charla ubicación inigualable precios razonables buen servicio meseros café Internet bastante bien tapanco cenar charlas chelear bastante acogedor recomendable,2017,4,1
359,personal counter  desk bienvenida amable demasiada seriedad atender público desayuno agradable embargo ubicación probablemente regresaría,2019,4,1
360,buen lugar descansar Serca dela catedral buen lugar viajeros,2019,4,1
361,preferidos buena atención vista calidad ambiente gente fines semana cover toda semana abierto diferentes temáticas recomendable grupos parejas,2019,4,1
362,Excelente tipo viajeros nacional extranjero terraza siempre eventos vista hermosa,2017,4,1
363,cumple básico mas ubicación excelente buenas instalaciones,2019,4,1
364,bien ubicado limpio comodo tranquilo bar terraza vista bonita Zócalo desayuno rico,2018,4,1
365,Buen lugar viajeros ambiente bueno terraza noches puedes conocer gente diferente tomar cerveza,2020,4,1
366,triste quedé servicio pésimo aseo decirhabía mugre polvo lado camas tender servicio llegue ver preocupan estadía agradable,2020,4,0
367,cambiaron dos veces x error joven atendía recepción Reservaron reserva colmo dieron prioridad personas llegaron día después yo Pésimo servicio wifi malo x…,2019,4,0
368,ruido noche escucha habitaciones sistema grifos automáticos manualla ducha poca agua Poca iuminación habitaciones destaca ubicación hostelcercano zócalo paradas cole Desayuno regular,2019,4,0
369,estancia ningún problema tenia pasar desayuno pedir comer restaurante desayuno chica atendía mal encarada gritaba quería ticket noche…,2018,4,0
370,Bien Alegre Gente feliz terraza maravillosa,2019,4,1
371,buenas instalaciones cuartos espaciosos desayuno buffet completo terraza gran vista catedral parte Zócalo precio accesible pues ubicación excelente,2019,4,1
372,excelente ubicación perfecta centro histórico limpias cuentan lockers puedes guardar pertenencias debes llevar propio candado comprar recepción  pesos desayuno bastante bueno vista terraza hermosa pasé genial,2017,4,1
373,central excelente atención desayuno delicioso abundante limpias buena asesoría conocer ciudad,2019,4,1
374,Particularmente visitado mejores este personal amable atendian si tenias problemas regadera tv pasamos tele q agarraba cable intereso personal unico bueno restaurante terraza bonita vistaqq,2019,4,0
375,Desgraciadamente primera impresión predominó fulanito atendió silvestre arto turista culpa Malos modos recepcionista sólo conmigo sino amigo El…,2019,4,0
376,buena ubicación terraza mejor vista centro historico Aunque hace falta pequeño folleto saber funciona hostal general atención amable buen servicio,2018,4,0
377,ubicación inmejorable atención cordial mucha utilidad cuartos excelentes condiciones Pasé días gratos hostel pude hacer amigos nuevos vive clima ameno cordial convivencia ,2018,4,1
378,Céntrico necesita renovación ya,2019,4,0
379,Cada vez visitó CDMX grato hospedaje Mundo Joven,2019,4,1
380,primera vez hospedo aquí lugar puedo confiar céntrico económico,2019,4,1
381,lugar acogedor,2020,4,1
382,Ame lugar súper cálido empleados eficientes excelente servicio súper recomendable,2019,4,1
383,Cerca museos lugar ideal alojarse si busca conocer centro histórico buen desayuno ambiente juvenil Puede ser ruidoso,2018,4,1
384,encanta siempre voy CDMX hospedo ahí Cómodo limpio económico excelente ambiente,2019,4,1
385,Buena atencion lugar bien ubicado aseo excelente cuenta zonas comunes coko cocina bar balcon,2019,4,1
386,Lugar limpio bonito agradable personal súper buena onda terraza bonita noches bar agradable visita Pd Si necesitas guardar equipaje luego check out dejan guardarlo tiempo requieras,2019,4,1
387,alojados  noches principios agosto  personas normalita destacar solamente baño ducha casi toda planta terraza arriba todas noches fiesta música a…,2019,4,0
388,personal sumamente amable Recomendable Si sueño pesado despierta cualquier ruido solo usaras habitacion guardar cosas lugar seguro Si sueño ligero quiza dificultades fines semana asiste mucha gente bar menos aproveche ruido asuntos  Éxito,2019,4,1
389,Dos aspectos buenos ubicación terraza frente cocina disponible huéspedes aspectos extremadamente negativos son  IMPOSIBLE dormir si alojado ° piso Todas noches el…,2019,4,0
390,ruido baño dividido  chiquito incómodo único rescatable ubicación,2019,4,0
391,desayuno vergonzoso quedándome hace  años cada vez peor tremendas fiestas organizan terraza mas bien deberian tener discoteca lugar hostal desayuno tan…,2018,4,0
392,segunda vez hospedaba primer vez buen recuerdo ocasión problemas check in quedamos sólo habia disponibilidad otro staff medianamente…,2019,4,0
393,Excelente ubicación personal atento amable Cómodas instalaciones super terraza bar vista Zócalo hacen medida busca hostel,2019,4,1
394,bien excepto agua ducha iba constantemente tubo lavamanos mantenerlo presionado chorro saliera además salía mucha presión pringaba,2019,4,0
395,llegué primera vez DF ahora Ciudad México primera opción dieron alojarme centro atención turistas fecha acá salvo ocasión llegué temporada alta no…,2018,4,1
396,ubicacion inmejorable personal amable servicial bar excelente vista estancia placentera,2018,4,1
397,amables recepción higiénico cómodo Dejan desear duchas agua pronto sale caliente fría sepa regularla escuché mismos comentarios inclinos tocó agua jueves bajaba baño podíamos bañar básico hostal,2018,4,1
398,Limpio barato,2019,4,1
399,Excelente servicio ambiente pase estancia agradable gustó lugar  recomendable,2018,4,1
400,Chingon limpio,2019,4,1
401,Excelente opción mochileros en especial extranjeros seguridad bien solo mejorar poquito actitud servicio comida deliciosa,2018,4,1
402,bonito huésped metió alguien  AM sé armó problema fuerte Solo demás bien,2019,4,0
403,acuerdo pautado amigables,2020,4,1
404,camas incómodas recepcionista amargada siquiera jabón lavamanos Aunque precio tan caro aún así deja desear otorgo  estrellas únicamente excelente ubicación,2018,4,0
405,Excelente ubicación servicio realizan fiestas fines semana terraza excelente vista hacia zócalo buenas únicamente descansar seguir tour mañanas sirven…,2018,4,1
406,Excelente ubicación  buenas habitaciones iluminadas  ventiladas gran amabilidad precio lugar mucha limpieza bedbugs termine ronchas cuerpo sugiero fumigar seguido el…,2019,4,1
407,Excelente lugar ubicación perfecta recomendado baños mejorarlos mucho pasables,2019,4,1
408,Destaco ubicación magnífica lado Zócalo atención personal buena bonita terrazabar desayuno completo embargo instalaciones graves problemas primer lugar interior cubo…,2019,4,0
409,Excelente ubicación centro ciudad buenas igual trato terraza espectacular,2018,4,1
410,haber sido primera vez hostal encantó trato seguridad pude dejar cosas descansar lugar céntrico práctico,2018,4,1
411,Rooftop bar buen lugar compartir amigos,2019,4,1
412,bien ubicado precio malo conoces muchas personas malo personas staff atienden bien concepto debe ser relajado tratan amigo como…,2016,4,0
413,lugar limpio terraza curada vista zócalo además cuenta bar propio cuartos privados demasiado pequeños dormir bien atención lenta tocó sólo persona atendiendo varios clientes esperando,2017,4,0
414,bonita vista ofrece terraza buen lugar pasar noche ir solo bar conocer extranjeros,2018,4,1
415, llegamos madrugada atendió amigable pregunte tours quería separara ya dije día siguiente temprano iría dijo tenia ser menos …,2019,4,0
416,Excelente atencion ubicacion instalaciones,2019,4,1
417,Pésimo lugar descansar discoteca terraza puedes escuchar música borrachos toda noche cuartos súper pequeños desayuno básico cobrando hora Check  IN ubicación buena recomiendo,2019,4,0
418,Excelente ubicación Hermosa vista terraza cómodas,2020,4,1
419,Buena vista buen ambiente personal capacitado buena ubicación,2019,4,1
420,descuidado barato Aqui lugar falta personal,2018,4,1
421,bien mochilazo ubicación excelente,2019,4,0
422,EMBARGO INCONFORME USUARIOS RESPETUOSOS GUARDAR SILENCIO DESPUÉS  PM NADIE EMPLEADOS DICE NADA SOLO ESO,2019,4,1
423,centro ciudad accesible ir cualquier lugar,2019,4,1
424,terraza bar vista increíble noche hospedándose ahí paga entrada,2019,4,1
425,Trato amable gente amena colchones comodos excelente lugar pasar dias si importa privacidad,2019,4,1
426,buena ubicación servicio deja desea momento reservar pasaron correo pedir información nunca contestaron llamar empleados contestaban atención mejor pagina de…,2018,4,0
427,buen servicio,2019,4,1
428,Excelente lugar viajeros presupuesto bajo,2019,4,1
429,mejores hostales estado ubicación increíble bien precio bar instalaciones padres,2018,4,1
430,Bastante bien lugar llena mucho precios bastante accesibles buen lugar tomar copa problema organización entrar varios eventos simultáneos precios bastante accesibles buena vista,2018,4,1
431,Superior expectativas trato amable buen ambiente terraza bar q woooooooooooow,2019,4,1
432,Tenia mejor ambiente bar entrada antes Vendian cerveza buenos sándwiches ahora sitio tranquilo terraza buena vista ideal tomar tragos atardecer buen preferido de…,2018,4,1
433,cambiar  veces habitación r correspondía  ocupada d sucia  quedé tipo reservé principio,2019,4,0
434,Ubicación excelente entrada recibió cucaracha agua caliente si buscas lugar paso dormir unas horas LUGAR gente grita toda noche bar quinto nivel pocas palabras nunca regresare,2019,4,0
435,Buen servicio mejor instrucciones limpias adecuadas bar terraza agradable pasar rato,2017,4,1
436,Aunque solo pase noche servicio bueno podría ser mejor Siempre sale relucir trato diferente mejor huéspedes extranjeros huéspedes mexicanos trato huésped debe ser igual estancia…,2019,4,0
437,medio escondido decir guardia deje pasar Ambiente chido,2019,4,1
438,tomar cerveza comer algo lugar tranquilo pesar pleno centro Ciudad México comida bien,2017,4,1
439,lugar buena ubicación cerca lugares importantes bonitos ciudad mexico siendo facil movilizarse embargo tenia television habitacion,2019,4,1
440,pasé increíble super recomiendo,2019,4,1
441,personas buscan diversión mucha juerga perfecto si buscas hace turismo descansar definitivamente no opciones único bueno ubicación,2018,4,0
442,cubre expectativas ubicación servicio agradece ampliamente bar super vista Centro Histórico filtro agua guarda equipaje felicitaciones excelente manejo ahorrro cuidado agua luz Altamente recomendable fumigar entrada principal,2018,4,1
443,Excelente ubicacion personal amable único agrado termino temprano desayuno pusieron mas comida,2018,4,1
444,lindo  bien ubicado  cerca  desayuno buenoldeal si paso  días,2019,4,1
445,Buena excelent ubicacion,2020,4,0
446,check in recepcionista mostró interés recibirnos pidió información lugares podíamos ir sólo tino mostrar mapa nada entendible preguntar caseta información…,2019,4,0
447,increíble 😍,2020,4,1
448,acogedor lugar,2019,4,1
449,bien excelente atención,2019,4,1
450,regadera  piso funciona bien desayuno variedad leche personas toleramos lactosa variedad aguas frescas algun entremes terraza vista super genial comodas,2019,4,1
451,buen lugar atención amable camas arriba literas fáciles subir,2018,4,1
452,encanta vista,2020,4,1
453,limpieza tal cambio sábanas nula entrada salida personas bar terraza molesto Cierto personal recepción profesional atender Deficiente además solución ciertos inconvenientes compañeras estadía,2018,4,0
454,queda cerca todo desayuno buffet excelente escoger personal atento recomiendo,2018,4,1
455,interesante juventud aunque sentían calientes veía bajar terraza personas demasiado ebrias demás bien amable recepcionista personal,2018,4,0
456,Solo buena ubicación más lugar sucio servicio atienden ahí pésimo,2019,4,0
457,lugar buena locación bueno fácil moverse punto noches siempre policías vigilando zona camas cómodas almohadas tanto baño compartido depende de…,2018,4,1
458,inconformidadla persona atendió atenta muy distraídademasiado ruido el aseo mínimoadicional mente pareció abusivo parte ustedes momento hacer reservacion solicitan pagina los…,2019,4,0
459,visité  experiencia agradable general buenos desayunos recepcionista amable momentos arrogante además avisaron reparaciones adelantaban días,2018,4,0
460,Solo visité restaurante comida sabrosa precios altos si Zócalo buena opción cercanía privado,2018,4,1
461,excelente ubicación persona recepción jóven creo falta amabilidad huéspedes servidos buenos general,2018,4,1
462,Excelente ubicación trato bien personal barato experiencia varía dependiendo gente toque cuarto malo tocó solo baño  personas suficiente,2018,4,1
463,satisfecho staff trato maravilla instalaciones increíbles ubicación encanto si pudiera ver punto mejora visión oportunidad podría decir pueden mejorar desayuno los…,2018,4,1
464,limpias personal amable Ubicado pleno corazón CDMX,2019,4,1
465,servicio reservaciones bastante mal planteado cómodas precio justo respecto zona ubicado viene incluído desayuno bastante sencillo cumple,2019,4,0
466,grupos llegan ruido feo así limpieza duchas deja desear noche bien leo personal amable 😊,2018,4,0
467,tarifa manifiestan darte  descuento ser cliente genius descuento aplica pague tarifa completa solicite aclaración manifestaron precio anunciado página sin impuestos pero…,2019,4,0
468,buena opción hospedarse,2019,4,1
469,único baño llaves tocador agua caliente tapetes escurrirse control sky funciona correctamente recepcionista lanoche impaciente,2019,4,0
470,cinco días estadía puedo decir excelente ubicación relación calidad precio buena atención cordial único gusto momento tomar camas ordenadas…,2018,4,1
471,Bonito cómodo excelente ubicación buen precio,2019,4,1
472,ubicación buenísima pleno zócalo metros catedral DF limpias personal atento excelente opción alojarse precio cómodo,2017,4,1
473,experiencia ambiente agradable único si detalles mejorar servicio mas mantenimiento instalaciones vale pena ser buena opción,2018,4,1
474,Bueno bonito barato hora checkout temprano deberian ser despues medio dia,2019,4,1
475,frecuencia viajo sola así intento buscar lugares seguros agradables reservación estupenda costo noche menor  recibí desayuno cortesía gran experiencia pues personas conocí fueron…,2019,4,1
476,lugar agradable excelente ubicación buena atención súper bien cuestión precios,2019,4,1
477,Bien ubicado buena opción comer aunque limitada menú Ambiente tranquilo,2018,4,0
478,limpio buen precio ideal viajeros estadías cortas céntrico,2018,4,1
479,buen lugar perfecto jóvenes viajeros,2019,4,1
480,Comoda ubicación practicas limpio general funciona adecuadamente buen servicio atentos amables general bien,2019,4,1
481,lugar bueno tener quedará mientras turista gran CDMX,2018,4,1
482,excelente precio aunque molesto si quieres abrir ventana noche aire fresco luz siempre encendida Igualmente abrimos ventana mas alejada cabecera cama ya,2019,4,1
483,comodo seguro pleno centro histórico DF,2019,4,1
484,lugar Increible embargo atención oersonas recepción entrada lockers mala comida normal,2019,4,0
485,Buena ubicación buena vista buen limpias,2018,4,1
486,Excelente lugar hospedarse centro ciudad dejen vistar terraza degustar cerveza puesta sol,2018,4,1
487,Cómodo gran ambiente embargo baños sucios ruido terraza música alto volumen pasadas hrs,2018,4,0
488,Bien pasar noche,2019,4,1
489,súper mojitos menos dulces perfecto,2019,4,1
490,Genial buena ubicación,2019,4,1
491,acuerdo precio justo mas solo ir dormir cerquita ahi solo tener bar terraza pues fines semana ruido noche,2020,4,1
492,lugar ve mantenido equipo cordial seguridad restaurante abajo bar terraza,2018,4,0
493,terraza llena frescura buena música combinada vista bonita visitala eventos tomar cerveza amigos,2018,4,1
494,hola mejores hostales ciudad México buena atención ubicación alimentos instalaciones solo defecto ocupan mantener silencio orden huéspedes clientes empleados bajan bar altas horas madrugada,2019,4,0
495,buen servicio,2019,4,1
496,cómodas amplias limpias buena ubicación trato amable aunque ocasiones tardan brindarlo debido cantidad huéspedes excelente servicio,2017,4,1
497,cruzando calle catedral habitacioones pequeñas acaloradas precio creo queja además desayuno gratis sólo terraza pequeña si huésped hay…,2019,4,1
498,Buen lugar especialmente viajes individuales pareja bien ubicado personal amable Podrian mejorar servicios internet,2018,4,1
499,Excelente servicio cuartos estan limpio cumplen requerido,2019,4,1
500,experiencia buenísima staff súper amables buena onda ayudan todo oportunidad conocer Marisol Erendira Abraham chavos increíbles da gusto llegar lugar traten casa Lo…,2019,4,1
501,Gente positiva atenta amigable cómodas prácticas limpias incluye desayuno,2019,4,1
502,precisamente público niños jóvenes adultos depende muchísimo cada persona,2020,4,1
503,terraza vista maravillosa zócalo bebidas música geniales tener noche mágica,2019,4,1
504,instalaciones decentes personal amable Perfecto lara viajeros,2018,4,1
505,instalaciones buena ubicación buen personal buenas instalaciones recomendación instalaran ventiladores cada cuarto pues calor épocas año demasiado,2018,4,1
506,amables limpias seguro buen ambiente cuestiones atención cliente vía telefónica creo podrían mejorar servicio,2018,4,1
507,todas visitas CDMX hospedo hostal general agrada ambiente atención personal limpieza buenas precio sacrificas terraza vale totalmente localización perfecta céntrica sientes seguro,2018,4,1
508,parece agradable ubicación instalaciones sitio,2019,4,1
509,bueno corta estadia personas jovenes antro terraza genera altos volumenes ruido trafico pesado gente ebria ojo ultimo ubicacion excelente,2019,4,0
510,Hice reservaciones booking precio barato posteriormente llegó correo especificaciones decía agrega ciento Entonces precio regresaba ser mismo encuentro oferta…,2019,4,0
511,encanta hostal súper bien ubicado Limpio camas cómodas vez desayuno bueno buena atención staff ayudan necesites aunque lento,2017,4,1
512,buena atención buena ubicaciónun buen ambienteme hospedado  ocasioneslo recomiendo,2018,4,0
513,alojaron todas cosas básicas viajero necesita agradecidos embargo personal servicial,2019,4,1
514,Súper céntrico mejor lugar hospedarse conocer centro histórico caminando,2018,4,1
515,comida bebida rica,2019,4,1
516,Buen ambiente general bien doy  estrellas precios bar dentro ridículos doble precio normal aparte eso si pagar bebidas están…,2019,4,0
517,ubicado buen sitio bar terraza tours gratuitos,2020,4,1
518,lindo podrían mejorar limpieza personal recepcion entrada bar menor educacion vocacion servicio totalmente improvisados,2018,4,0
519,Buen precio ambiente tranquilo,2019,4,1
520,general bonito lugar unico tengo baño compartido debería mas limpio  lugar bien ubicado si volvería,2018,4,1
521,bien solo tocó días elevador funcionaba baños siempre sucio,2019,4,1
522,pequeño viajes solo necesitas paradas técnicas super recomendable Volveríamos duda,2018,4,1
523,Duermesbien gente amable Solamente desayuno pan Jamon queso 😑,2019,4,1
524,buen lugar bien servicio parte empleados buen desayuno lugar cómodo ubicación,2019,4,1
525,Excelente solo lleva control bueno,2019,4,1
526,grato haber vivido experiencia bonita hostel gracias atenciones mostradas estancia ocacion esperamos vivirla nuevo atte israel velazquez saludos¡,2019,4,1
527,Excelente vista bar azotea genial,2019,4,1
528,Excelente lugar conocer gente mundo disfrutar buena plática,2018,4,1
529,Amigos quedado ahí dicho lugar limpio solo ido cenar restaurant Xolo ahí come rico,2018,4,1
