,Descripción,Año,Mes,retroalimentacion
295,restaurante bonita vista comida buenapésima antencion servicio parte meseros,2017,4,0
296,encuentra lugar centrico vista terraza bonita falta mejorar comodidad camas remodelar cuartos encuentran viejos,2017,4,1
297,mejor atención,2019,4,1
298,Lindo,2019,4,1
299,HISTORIA BEST WESTERN MAJESTIC México City AMISTAD buen SABOR siempre perdura TIEMPO Grácias marcel,2018,4,1
300,momento reservar habló tipo habitación respetó adultos dieron habitación camas individuales botellas agua solamente toallas hicieron cambio habitación nos…,2017,4,0
301,bonito sitio duda vivir belleza arquitectura antigua tantos detalles mexicanos,2018,4,1
302,bien Super bien ubicado habitaciones bonitas limpias,2014,4,1
303,Lugar familiar romántico Excelente vista zócalo,2018,4,1
304,buen lugar tomar copa amigasuna vista hermosa servicio excelente,2017,4,1
305,servicio bueno habitaciones falta limpieza general bien,2017,4,1
306,comida pesima corazón ciudad mexico recomendable cabello salió platillo Deberían esmerarse ser sitio aloja turismo ciudadanos deseamos disfrutar vista ciudad acompañada buena comida Decepcionante,2017,4,0
307,Excelente vista,2020,4,1
308,ubicacion increible seguro limpio staff educado atento hospedes,2018,4,1
309,mejor vista ubicación pasos Zocalo ver manifestantes gusto malo clima mueres calorrrrrrr,2017,4,0
310,Excelente servicio,2019,4,1
311,Ubicación perfecta contemplar ocurre Zócalo vitrales preciosos interior sorprende elevadores antiquísimos buffet desayuno super caro aprovechas lindas vistas terraza,2016,4,1
312,Sólo vez quedé torneo neta elegante cómodo lugar,2014,4,1
313,Excelente servicio vista centro histórico genial,2020,4,1
314,💯 ubicación 💯 vista 💯 arquitectura edificio camas insulacion dormí escucha todas maniobras zócalo aparte cama incómoda,2019,4,1
315,Bonito lugar bar maravillosa vista centro ciudad,2019,4,1
316,lugar calido servicio,2017,4,1
317,lugar agradable vista maravillosa Centro Histórico CDMX restaurante terraza vista Zócalo Capitalismo lugar mágico,2018,4,1
318,buffet demasiado caro comida ofrecen Deberían incluir servicio carta mejorar servicio parte meseros,2017,4,0
319,Buena atension comodo cerca caminar encontrar,2018,4,1
320,Cuenta terraza maravillosa,2018,4,1
321,Magnífico lugar lleno historia buena atención,2019,4,1
322,servicio pésimo control reservaciones bufett peor vida pocos platillos sabor ninguna calidad gastronómica lástima lugar ubicación vista privilegiados desperdiciados supervisión control Imposible recomendarlo,2017,4,0
323,Excelente atención,2019,4,1
324,Terriblemente inasequible persona silla ruedas,2017,4,0
325,anitos trabajaba mejor df lindo querido gran majestic carajooooo,2016,4,1
326,Exelente servicio personal cuerto desente excepcion colchones camas duros,2017,4,1
327,Servicio limpieza impecable amabilidad encuentra bien ubicado caurtos acogibles enormes respira tranquilidad lugar bueno relajarse,2017,4,1
328,Habitaciones sencillas ubicacion estrategica recorrer ciudad,2019,4,1
329,acudir debe hacer reservacionprevio anticipoen deposito cuenta bancaria aceptan transferencias servicio malo lento comida mediana calidad precios adecuadosdado servicio calidad los…,2016,4,0
330,favoritos ciudad Mexico,2020,4,1
331,gusto tetrico lugar asusta noche Cobran carisimo instalaciones estilo campestre sino estilo viejiiisimo,2018,4,0
332,Hablaré desyuno terraza asistí comida mexicana internacional buena servicio bueno costpo aquella ocasión julio menos vale lugar terraza vista,2017,4,1
333,lugar acojedor elegante buena atencion,2018,4,1
334,vista increíble mirador hacia plaza gente bastante simpática instalaciones bastante antiguas,2017,4,1
335,Horrible trato personal condiciones lugar,2020,4,0
336,padre elegante cena navidad único falta estacionamiento cercas hrs,2015,4,1
337,Buen lugar vista zócalo,2020,4,1
338,cena excelente desayuno semejante Vips super caro,2017,4,1
339,llevaron cenar ahí experiencia increíble conocía lugar enamoré atardecer noche vista alturas plancha zócalo toda multiculturalidad dejaron fascinada Definitivamente volvería ir mil veces RodadaPlus BiciGourmet,2013,4,1
340,buen servicio instalaciones bonitas,2020,4,1
341,Excelente sabor calidad comida bebidas buen servicio preciosa vista,2018,4,1
342,exelente verdad vista magnífica restaurante genial comida bien,2017,4,1
343,Excelente,2019,4,1
344,buena experiencia recomiendo,2014,4,1
345,Precioso centro ciudad alojarse museo,2019,4,1
346,vacaciones tocó habitación vista plaza excelente,2017,4,1
347,Vista espectacular catedral zócalo,2018,4,1
348,Excelente,2020,4,1
349,gustomuy viejo rechina además muchísimo ruido habitaciones,2018,4,0
350,bonito cómodo lugar pasar día dormir cómodamente,2018,4,1
351,falta aire acondicionados agua caliente,2020,4,0
352,Falta mantenimiento,2017,4,1
353,buen servicio,2017,4,1
354,cómodo genial atención,2017,4,1
355,bonito terraza vista increible zocalo,2018,4,1
356,cadena buenos baratos siempre limpios personal amable,2014,4,0
357,agradables instalaciones habitaciones huelen mal escucha ruido noche,2018,4,0
358,excelente servicio,2017,4,1
359,buen servicio exelente trato personal recomendable,2018,4,1
360,Excelente excelentes servicios agradable diseño colonial Recomendado,2017,4,1
361,Mejorar servico,2017,4,0
362,Hermoso comodo lugar,2020,4,1
363,genial fallo agua caliente tarda,2016,4,0
364,Ideal tomar café tener linda vista hacia zócalo,2017,4,1
365,Lugar encantador mejor ubicación,2019,4,1
366,vista increíble buen elevado costo,2018,4,1
367,Excelente servicio mirador,2017,4,1
368,elegante encanta ubicación calle madero maravillosa,2014,4,1
369,Excelente lugar comer,2020,4,1
370,Excelente ubicación pésimo servicio recepción,2020,4,0
371,excelente ubicación molesta ruidos exterior,2019,4,1
372,buena ubicación vista Zócalo personal atento,2018,4,1
373,Excelente ubicación,2020,4,1
374,Mejorar variedad comida buffet ubicación mesa postres da posibilidad contaminación polvo pan duro,2017,4,0
375,Después varios años regresé nota descuidado varios aspectos,2019,4,0
376,Excelente ubicación conocer centro histórico,2018,4,1
377,buena ubicación terraza vista espectacular,2019,4,1
378,encanta lugar ir desayunar familia mejor,2018,4,1
379,viejo baño sucios tina baño llaves lavabo manchas pintura solicitó cobija extra recepción dijeron traía nunca después contestaban recepción ir personalmente lamadrugada recepción dieron,2017,4,0
380,Excelente buen lugar alojarse buena ubicación,2019,4,1
381,mal servicio instalacioinstalaciones demasiado deterioradas,2019,4,0
382,bufete desayuno bueno servicio descuidado bien general,2017,4,0
383,bonito solo conocí terraza,2019,4,1
384,exelente buena uvicacion,2018,4,1
385,mejor lugar frente Zócalo,2020,4,1
386,Buen servicio,2019,4,1
387,excelente trabajadores atentos,2018,4,1
388,Solo falta ascensor existente pudiera ser usado necesidad staff,2018,4,1
389,Malo,2020,4,0
390,pudimos obtener habitación,2020,4,0
391,Excelente falta mejorar atención,2020,4,1
392,Servicios buenos cualquier centro sólo habitaciones obsoletas pesima atención parte recursos humanos,2019,4,0
393,Excelente opción pleno Zócalo,2019,4,1
394,Lastima q pileta gym excelente atención ubicación,2019,4,1
395,Camas incomodas aire acondicionado,2019,4,0
396,ancla ubicación comida buena atención deja desear,2018,4,0
397,hermoso lugar visita Familia,2019,4,1
398,Excelente servicio,2018,4,1
399,Excelente servicio,2018,4,1
400,Excelente buen fin semana,2019,4,1
401,viejo empleados atienden mal puede dormir escandalo tremendo escucha desayuno feo,2019,4,0
402,bueno,2018,4,1
403,ubicación increíble cercas habitaciones estilo colonial bonitas único aire acondicionado clima ciudad hace falta,2018,4,1
404,Buenas vistas zócalo bufete amplio bueno meseros atentos,2017,4,1
405,Excelente,2019,4,1
406,Aunque poca variedad postres rico,2019,4,1
407,Excelente desayuno,2018,4,1
408,Simplemente espectacular,2019,4,1
409,Excelente buena atención precios acordes calidad,2017,4,1
410,Genial,2020,5,1
411,bien ubicado necesita taxi movilizarse cerca excelente vista terraza,2018,4,1
412,buena vista,2018,4,1
413,Lugar bonito,2020,4,1
414,experiencia bonita,2018,4,1
415,Super excelente lugar magnífico vista espectacular,2018,4,1
416,lugar agradable duda regresaré pronto,2017,4,1
417,hospedaje historia rodeado palacios museos,2020,4,1
418,lugar disfrutar desayunos amigos,2019,4,1
419,Excelente,2019,4,1
420,solicitamos unventilador deben tener suficientes satisfacer visitantes,2018,4,1
421,Excelente atención personas super especiales,2019,4,1
422,único detalle pides toallas nunca llevan,2020,4,1
423,Bonito,2020,4,1
424,Pésimo pésimo Buffet desayuno Caro Salado variedad,2019,4,0
425,Excelente lugar gran vista,2019,4,1
426,Excelente restaurante excelente vista zocalo,2018,4,1
427,Cómodo accesible,2019,4,1
428,Muchas deficiencias,2020,4,0
429,Encuentro pasado,2020,4,1
430,Bonito,2020,4,0
431,,2020,4,0
432,Buen,2020,4,1
433,Excelente restaurant,2019,4,1
434,Excelente ubicación,2019,4,1
435,vista hermosa,2019,4,1
436,Peculiar,2019,4,1
437,lujo,2019,4,1
438,Excelente atención,2019,4,1
439,Perfecta atención,2019,4,1
440,Historia,2019,4,1
441,habitaciones falta mantenimiento,2019,4,1
442,Excelente,2019,4,1
443,Lindo,2020,4,1
444,joya ubicación vista catedral precio atmósfera época precio,2019,4,1
445,bonito,2019,4,1
446,encantó,2019,4,1
447,servicio malo,2019,4,0
448,salvo ubicación demás malo,2019,4,0
449,😣Exelente buena atención cuidados,2019,4,1
450,Recepcinista grosero,2019,4,0
451,excelente,2019,4,1
452,ROBAN,2019,4,0
453,Excelente,2019,4,1
454,muchas cucarachas,2019,4,0
455,Excelente,2019,4,1
456,Mal servicio,2019,4,0
457,terraza genial,2019,4,1
458,Hermoso,2019,4,1
459,bien,2019,4,1
460,bien servicio,2019,4,1
461,Excelentes vistas Buen servicio,2018,4,1
462,Comodidad satisfacción total,2019,4,1
463,Actitud servicio comodidad,2019,4,1
464,Mal educados faltos criterio,2018,4,0
465,maseras cara larga,2018,4,1
466,Horrible mala atención,2018,4,0
467,servicio bueno comida buena puede mejorar,2018,4,0
468,Buenas instalaciones precio desproporcional,2018,4,1
469,Excelente servicio lugar comida,2018,4,1
470,hermoso servicio agradable,2018,4,1
471,Excelente vista Zócalo,2018,4,1
472,Creo vista demasiado buenano verán árboles enormes si grandioso zócalo,2018,4,1
473,padre,2018,4,1
474,Bonito lugar voy tomarlo,2018,4,1
475,confortable buena comida trato excelente,2018,4,1
476,buen servicio así higiene,2018,4,0
477,viejo buena atencion personal aire acondicionado ventilador Caro,2018,4,0
478,Excelente,2018,4,1
479,Excelente puede aún mejorar,2018,4,1
480,excelente excelente servicio recomiendo ampliamente,2018,4,1
481,Excelente vista,2018,4,1
482,Buen servicio buen recomendable,2018,4,1
483,Buen,2018,4,1
484,Excelente ubicación excelente servicio,2018,4,1
485,Increíble servicio,2018,4,1
486,gusta,2018,4,1
487,Buen,2018,4,0
488,buen restaurante vista zócalo bufete regular precio módico caro,2018,4,0
489,Excelente vista buen precio rico sazón,2018,4,1
490,Tranquilo confortable,2018,4,1
491,Buen excelente ubicación,2018,4,1
492,Extraordinario lugar encantada trato,2018,4,1
493,recuerdo haber lugar,2018,4,0
494,faltan servicios,2018,4,0
495,gustó,2018,4,1
496,Limpieza deficiente personal recepción falto preparación ubicación buena,2018,4,0
497,Buen servicio amables,2018,4,1
498,Feliz,2018,4,1
499,buena ubicación mejores vistas zócalo,2018,4,1
500,Buen servicio,2018,4,1
501,Excelente servicio,2018,4,1
502,Demasiado bueno,2018,4,1
503,mejor restaurante vista Zócalo habitaciones dejan desear sienten viejas escucha ruido habitaciones,2018,4,0
504,Pésimo servicio cliente toda odisea hacer reservación,2018,4,0
505,Lugar histórico menús temáticos cambian cada mes,2018,4,1
506,descuidado,2018,4,0
507,Vale pena comer terraza,2018,4,1
508,,2018,4,1
509,Exelente lugar,2018,4,1
510,Hermosa vista,2018,4,1
511,tipo colonial,2018,4,1
512,wea wna,2018,4,1
513,Falta estacionamiento algún acuerdo huéspedes puedan dejar autos lugar cercano,2018,4,1
514,ubicación buena lugar agradable,2018,4,1
515,fin semana opino deberían dejar pedir carta,2017,4,1
516,huéspedes dijeron recepción servicio limpieza podrían mejorar,2017,4,1
517,Ubicación restaurante excelentes vistas servicio amable,2018,4,1
518,Buena vista restaurante comida aceptable mejor,2017,4,0
519,hace falta toque hogareño,2017,4,1
520,Exelente,2017,4,1
521,bien comida rica servicio bueno,2017,4,1
522,Excelente sitio,2017,4,1
523,Excelente,2017,4,1
524,Lugar histórico solo falta actualizar pisos baños,2017,4,0
525,Buena atención excelente vista plancha Zócalo,2017,4,1
526,servicio bueno normal,2017,4,0
527,Excelente,2017,4,1
528,Espantoso recomendable camas horribles ruidosas dicen cama matrimonial dos camas individuales juntas colchones sienten resortes bañera drena agua regadera sale poca…,2017,4,0
529,Buen lugar cenar,2017,4,1
530,servicio excelente,2017,4,0
531,Excelente servicio,2017,4,1
532,restaurante terraza horrible,2017,4,0
533,bonito edificio estructura antigua,2017,4,0
534,Increíble servicios podría mejorar espacio,2017,4,1
535,Buffet desayuno rico buen servicio,2017,4,1
536,Bueno,2017,4,1
537,excelente gran servicio,2017,4,1
538,avejentado noche cuesta pesos mínimo comida fama ser mala especial buffet,2017,4,0
539,Buena placentera,2017,4,1
540,Increíble lugar,2017,4,1
541,Excelente servicio,2017,4,1
542,gran servicio excelentes habitaciones,2017,4,1
543,lindo,2017,4,1
544,Bueno,2017,4,1
545,Excelente excelente,2016,4,1
546,restaurante Terraza maravilla,2016,4,1
547,buen lugar caro,2015,4,1
548,Riquísima comida,2013,4,1
549,Excelente vista plaza palacio nacional,2021,4,1
550,aire acondicionado así concentres verano octubre buen tiempo vista INCREÍBLE Zócalo Justo lado zona paseo principal Original ac so dont…,2021,3,1
551,Ok agradable prepárate estadía antiguo Internet bueno aire acondicionado necesitan toallas mano estacionamiento lugar vayamos bueno…,2021,3,1
552,Maravillosas vistas Zócalo Restaurante terraza realmente bueno Personal amable majestuoso edificio Original Wonderful views to Zócalo terrace Restaurant is really good Friendly staff and majestic building,2021,3,1
553,mejor casos noche puede salir mal cabezal ducha habitación funciona correctamente cortina demasiado corta agua todas partes después ducha El…,2020,9,1
554,Buen encanto corazón ciudad México edificio viejo mantiene bien personal agradable profesional personal buffet necesita tener fundamentos correctos…,2020,4,0
555,I booked room with king and was given corner room with great view of cathedral Friendly staff Great historic,2020,11,0
556,This location is perfect the front lobby opens directly on to one of the main walking and shopping streets and the main square in front of the presidential home the is rustic classic but the location can not be better,2020,12,1
557,It was little noisy because of demonstrators I had great view of the zocalo,2021,3,1
558,retro historia Frente Zocalo vista restaurante piso superior excelente desayuno abierto tiempo relajante términos sentido…,2018,4,0
559,The is located in the cultural center of the city which is great if you love history The building is old but well maintained It even those turnofthecentury European style elevators that requires an operator to use Pretty…,2020,4,1
560,encantan interiores históricos bien mantenido supuesto gente aquí simplemente fabulosa Ubicación perfecta debería ser Justo medio acción Simplemente hermosa inspiradora…,2020,4,1
561,Buen buen ambiente enfrenta Zocalo entrada difícil entender principio balcón habitación daba zócalo vista buena embargo debido…,2017,4,1
562,I loved the location Right across from zocalo The property was clean the beds comfortable Additionally there was security at all hours which made feel very safe One area of improvement is the walls are paper thin so I could hear…,2020,4,1
563,Kind of the bare essentials at this but it was in great location so we were happy with it Our room was on the th floor I think and so many flights of steps or very slow old elevator the employees manning it were slow to…,2020,5,1
564,Ubicado justo enfrente Palacio Nacional difícil creer Best Western habitaciones amplias gran sala dormitorio vistas increíbles una…,2018,4,1
565,We love the location on the Zocalo in the heart of the historic Centro of Mexico City We prefer that location to some of the trendier area such as Roma Polanco or Condesa There is better food in Mexico City that at the Terraza at…,2020,4,1
566,lugar agradable permanecer céntrico edificio principios vistas invaluables cómodas relajantes ubicadas cerca Vale pena echarle vistazo Original Very…,2020,4,1
567,Hermosa arquitectura llamativa Excelente ubicación alojado allí albergue estudiantes puedo decirle información servicio etc modos próxima…,2018,4,1
568,My husband and I were at this for four days We absolutely loved it The is in the Socalo area in Mexico City It’s right across from the Mexican flag The colonial style and we loved our balcony bedroom facing the…,2020,4,0
569,Bonito ambiente agradable gran diseño interior Original Szép szállodanagyon szép környezetben és remek belső kialakítással,2019,4,1
570,familia viniendo aquí toda vida casi años personal siempre cortés respetuoso Desafortunadamente terminó hoy amigos Unidos visitaban la…,2020,4,0
571,quedamos aquí bar nivel superior vista increíble disfrutar comida mientras comía Original We didn’t stay here but the bar on the top level had an amazing view to enjoy your meal while eating,2020,4,1
572,Location was everything and having wonderful view of Zocalo was the absolute best,2020,10,1
573,¡El Majestic excelente ubicación Centro Histórico cerca arquitectura antigua da edificio gran carácter quedé habitación sexto piso balcón con…,2020,4,1
574,Great location for touring the historic district Suggest you request room not facing the zolcola It is very noisy late into the night On the other hand you do have the best view ever if you do get one of these rooms,2020,4,1
575,Ubicación Ubicación Ubicación Justo medio histórica ciudad México antiguo encanto excelente personal buen desayuno buffet piso superior vista plaza palacio…,2019,4,1
576,Bonito toque español buen punto partida central explorar casco antiguo terraza gran vista Zócalo locura supuesto situación contribuye poco…,2019,4,1
577,Terrible The pictures to advertise this hotels such lie in horrible Condition one thing is Historic other bad conditions Extremely over price what are you getting Staff took over to check in because she didnt know how to…,2020,4,0
578,is located in one of the best attractions which is ZocaloWhat I’m more disappointed is how the rooms areOne there’s ac so good luck getting room fan Second the rooms are so out dated and smelledTerrible And third there was literally one guy helping out floor going back and forthI will not return,2020,4,0
579,lugar basurero viejo sucio feo miserables empleados concepto servicio cliente balcón cables sueltos lugar haciéndolo peligroso…,2020,4,0
580,Ok camas buenas personal amable desayuno rico embargo particularmente feliz baño viejo gastado Definitivamente vendría bien cambio imagen estilo…,2020,8,1
581,The Majestic is in an excellent location with th floor view of the Zócalo however the service leaves much to be desired The shower water temperature was luke warm the beds were firm and the antique elevator was not in service at am We had to lug our luggage down six floors,2020,4,1
582,vista hacia zócalo dice además histórico ser huésped puede visitar restaurante Terra Original the view towards the zocalo says it all besides that this is historic and without being guest you can visit the terra restaurant,2019,4,1
583,Please add an extra blanket in the room and also to little tables with lamps on each side of the beds Everything else is great oh one more thing the dinner buffet needs to improve I would be better more authentic Mexican food such as tacos mole flautas pozole tamales flan arroz leche ponche etc Thank you,2020,4,1
584,Access to Poor Dues to protests Not good place for working air condition This was not clearly mentioned during booking Potential customers should know this very clearly Had to breathe smelly air in the night Poor…,2020,4,0
585,Like everyone says you pay for the location is old but everything in that area is pretty old If you want to wake up and be in the center of all the action then this place is for you If youre looking for something more quiet and relaxing than book somewhere else,2020,4,1
586,Nettes mit super Lage Die Ausstattung ist etwas älter aber die Zimmer völlig ok und sauber,2020,4,1
587,ubicación excelente estructura anticuada encanto vivir lugar histórico Original posizione è ottima struttura po datata ma il fascino abitare in luogo storico,2020,4,1
588,It’s beautiful building in prime location I’ve stayed here many times over the past years and always return,2020,4,1
589,cerca mayoría lugares viaje Servicio amable quedará aquí nuevo corrección restaurante ° piso horrible sabía mal realmente quería darles propinas camarero…,2020,4,0
590,Great location Restaurant great view to the old city,2020,4,1
591,buen Histórico limpio Situado corazón ciudad vista habitación espectacular catedral palacio nacional hermosos edificios encuentran dentro plaza o…,2019,4,1
592,Personal profesional competente idealmente ubicado Estilo años así ventajas desventajas viejos Buen desayuno Ruidoso excepto h h Original Personnel professionnel…,2020,4,1
593,Wonderful service Wonderful location The bathrooms need to be remodeled lot of noise from the square,2020,4,1
594,立地がとにかく最高！部屋からの眺めだけで、宿泊料金の元が取れたと思えるほど素晴らしかった。ただ設備が古く、隣室のドライヤーの音も聞こえるくらい防音性は無く、その他風呂が汚れていたりタオルがボロボロなのが気になった。連泊は辛いが、泊程度ならおすすめします。,2020,4,0
595,hermoso construido década encuentra justo zócalo habitación sexto piso daba zócalo habitación espaciosa confortable única queja…,2019,4,1
596,antigua arquitectura magníficas vistas zona zócalo impresionante servicio restaurante séptimo piso mejor vista ciudad Original Very old architecture great view of the zocalo area awsome service the restaurant on the th floor is the best view in town,2018,4,1
597,Disfrutamos estancia Ubicado parte central ciudad Fácil paseo ciudad Buen valor dinero único inconveniente aire acondicionado ventiladores…,2020,4,0
598,Bonito centro antiguo mexico Ubicación perfecta cuidado tarjeta crédito restaurante planta superior encuentra ubicación perfecta normal juegan…,2020,4,0
599,ubicación absolutamente perfecta Obtenga habitación balcón podrá ver salida sol plaza central Palacio días comida excelente bar divertido pasar el…,2019,4,1
600,Excelente ubicación minutos taxi aeropuerto personal agradable calefacción ducha agua caliente invierno alojé diciembre edificio hermoso…,2020,4,0
601,Excelente servicio antiguo histórico encuentra interesante zona histórica ciudad México lugar conveniente gran vista zócalo aunque ruidoso El…,2020,4,1
602,¡¡Horrible experiencia quedo mientras escribo crítica aire acondicionado habitación ventiladores si abres ventana aire entrarán toneladas de…,2020,4,0
603,Property location is incredible especially for the very reasonable price There are fancy or hotels but this one sure is wonderful place to stay The restaurant on top is joy with beautiful view over the square,2019,4,1
604,buen precio embargo obtienes pagas Si quieres paz tranquilidad lugar Debido edificio antiguo acústica edificio presta amplificar el…,2020,4,0
605,The lobby is beautiful as well as the view and upstairs bar The room was not very pleasant rather rundown The bathroom was in poor condition paint peeling away on tub shower rod pulling away from wall etc deceptive presentation online one would expect much nicer room based on what is presented online,2020,4,0
606,Frente calle Francisco I Madero ubicado justo lado Plaza Central Catedral Metropolitana ubicación indiscutible calle Francisco I Madero animada noche gran…,2017,4,1
607,très ancien non récemment rénové Très bruyant car anciennes fenêtres donnant sur place principale elle même très bruyante manifestations prêcheur sonorisé Bruits conversations depuis chambres voisines via salles bains et bruits du personnel dès heures du matin dans couloirs,2019,4,0
608,gran ubicación increíble habitación daba plaza podía ser mejor supuesto celebraciones Copa Mundo hicieron ruidoso de…,2019,4,1
609,buen centro Original Molt bon centre,2020,4,1
610,Beste Lage mit wunderschöner Terasse und klasse AmbienteZimmer innen und außenliegendInnen ruhiger aber keine Aussicht außen schöne Aussicht dafür aber Glockenklang viertelstündlich Das muss man mögen Obwohl die Fenster dünn und nicht…,2016,4,1
611,céntrico vistas Hammer terraza restaurante precios aceptables desayuno absolutamente recomendable exitosa mezcla desayuno intercontinental típico mexicano También…,2019,4,1
612,encantó Original Loved it,2021,1,1
613,Hermoso edificio histórico azulejos vistas increíbles terraza ubicación fantástica justo plaza principal desayuno bueno pude acceder red WiFi recepción no…,2020,4,1
614,gran vista zócalo gran terraza desayunar gran servicio checkin así servicio equipaje muchas gracias nuevo Saul Café agua habitación complementaria No…,2020,4,1
615,Fabuloso antiguo corazón absoluto ciudad México desgastado aún gracioso Si interesa arquitectura cultura historia carácter suavidad tus…,2017,4,1
616,Visitamos restaurante piso superior personas comiendo alrededor asientos abiertos incluidas mesas junto ventana gran vista Plaza negaron dejarnos personas…,2018,4,0
617,Excelentes vistas restaurante Buena comida buffet Original Excellent views from the restaurant OK food with the buffet,2017,4,1
618,Gemütliches im KononialStil mitten im Zentrum der historischen Altstadt von MexicoCity Hervorragende Einkaufsmöglichkeiten sowie Restaurants Cafés und Bars in unmittelbarer Umgebung fussläufig erreichbar Einziger Minuspunkt bei…,2018,4,1
619,cucarachas habitación colegas trataron meterse maletas cerradas maletas desbloqueadas rebuscaron toallas habitaciones conductor televisión camas…,2019,4,0
620,clean and spacious with history nice breakfast at balcony the square bit noisy at night,2019,4,1
621,Der Strasselärm war sehr laut Die Fenster haben leider nichts gedämpft,2020,4,0
622,bonito inmaculado original hermosa construcción contemporánea restaurante séptimo piso vista impresionante cada mañana puede presenciar ascenso bandera mexicana banda música…,2020,4,1
623,die einmalig guenstige Lage und die Ausstattung des Hotelswunderschoene alte Moebel Jugendstil fensterAzulejos anden WaendenKeramikfussboedengrosse ZimmerBlumen bouquets in der HotelhalleDachterrasse mit tollem Blick auf den Zocalosehr freundliches hilfsbereites PersonalWuerde sofort wieder hinfahren,2019,4,1
624,Hôtel bien situé au centre ville historique avec certain charme colonial mais peu vieillot disons peu triste salle bains franchement vieillotteLe restaurant sur terrasse avec vue sur Zocalo est très agréable et on…,2019,4,0
625,The rooms Can use little bit of TLC I know it’s an old building but It doesn’t need some care specially on the floor in the bathrooms there’s also There is Air conditioning in the rooms,2020,4,1
626,Teilweise etwas dreckig und staubig Etwas altbackene ausstattung und dekoration Aber sehr hilfsbereites und überaus freundliches personal,2020,4,1
627,Cenamos restaurante piso superior vistas increíbles mejor lugar ver plaza pública opinión Puedes ver antigua catedral edificios gubernamentales puedo comentar sobre…,2018,4,1
628,If the guest pm checkin or earlier due to agency assignment immediately notify management of this fact Otherwise you will have to wait until their normal checkin which is pm or when room becomes available,2020,4,1
629,estancia corta pasé bien duda volveré Bonita clara impresionante vista zócalo recomendable Original My stay was short but I had great time at this I will definitely come back Nice clear and awesome view to the Zocalo Highly recommended,2019,4,1
630,Fantástico personal amable limpio camas cómodas precio razonable aire acondicionado nevera Original Great friendly staff clean comfortable beds and reasonable price But air conditioning and refrigerator,2020,4,1
631,principio decepcionó Edificio años aire acondicionado incluso si CA necesitado habitación gran vista palacio nacional zócalo…,2019,4,1
632,When I arrived to the my room is not ready because some person get my room and they moved to another room with not viewable to the Zócalo esplanade or stret view,2020,4,0
633,¡Ubicación recomendable proximidad plaza ciudad vistas habitaciones suite esquina segundo piso vistas surrealistas Catedral vistas el…,2018,4,1
634,sitio perfecto cerrados lugares queremos ver restaurantes zona poca distancia pie personal profesional Deseamos habitación aire acondicionado menos un…,2018,4,1
635,Habitación vista Zócalo sueño Buena ubicación precio rendimiento correctos Original Zimmer mit Blick auf den Zocalo Ein Traum Tolle Lage Preis und Leistung stimmen,2019,4,1
636,mejor recomendación estancia Ciudad México mejor ubicación corazón ciudad vista terraza azotea restaurante bar inmejorable Ambiente colonial…,2018,4,1
637,horrible recomendaría nadie personal mayormente horrible excepto realmente agradables cama si existiera difícil piso No…,2020,4,0
638,alojamos aquí aproximadamente días ¡realmente excelente ubicación habitación dentro edificio luego pedimos cambiáramos lado Zócalo personal cambió rápidamente sin…,2016,4,1
639,esposa visitamos recientemente Ciudad México encontramos Best Western ubicado cerca famosa Catedral paseo nocturno Comentamos estancia nuestra…,2019,4,0
640,I am very happy with my reservation I have wonderful view to Zócalo explanéd tank you to all staff for the courtesy,2019,4,1
641,Agradable buffet bueno vista estupenda Original Nice and the buffet is good but the view is great,2020,4,1
642,like I said gorgeous especially being historic but one condition it lacks refrigerator and air condition since being diabetic my insulin needs to be cold and it was nusence of going to the restaurant every time for ice and…,2016,4,0
643,Excelente ubicacion Buen precio Limpio Temperatura ambiente cercana exterior Interior necesita renovación Original Excelente localização Bom preço Limpo Temperatura ambiente bem próximo do exterior Interior precisando renovação,2019,4,0
644,antiguo edificio histórico encanto restaurante mejores vistas ciudad Original Very old historical building with lots of charm The restaurant some if the best views in town,2019,4,1
645,Fantástica ubicación restaurante azotea mejor mejor Original Fantasticooo location and the Restaurant on the roof the best of the best,2020,4,1
646,quedamos aquí quedamos impresionados belleza edificio increíble artesanía Original We did not stay here but were very impressed with the beauty of the building and the amazing craftsmanship,2020,4,1
647,¡Maravilloso auténtica vibra mexicana Increíble ubicación Original Gorgeous Very authentic Mexican vibe Amazing location,2019,4,1
648,Dieses liegt direkt am zócalo also mitten in der Altstadt Während tagsüber rundherum äußerst belebt ist legt sich der Verkehr abends etwas und wird für mex Verhältnisse ruhig genug um schlafen zu können Von der…,2009,4,1
649,ubicación buena escena gastronómica piso superior buena solo buffet sirve noche tipos difícil comer Original 飯店的位置很好，頂樓餐景觀很好，晚上只有供應自助餐，種類不多，很難吃。,2019,4,1
650,Precioso antiguo Si quieres comodidades modernas ve lado Ubicado centro significa fiesta prolonga toda noche ventana Original Beutiful old If you want…,2018,4,0
651,Das Mejestic in Mexico City liegt direkt im Zentrum am Zocalo mit atemberaubenden Blick auf die Kathedrale Das Restaurant auf der Dachterasse bietet ein schönes Ambiente und einen sehr schönen AusblickDas Frühstück ist gut und das…,2012,4,0
652,Buena ubicación Personal amable excelente precio ubicación céntrica Gran restaurante vistas zócalo Original Great location Friendly staff great price for centrally located Great restaurant overlooking the Zocalo,2019,4,1
